csafp,cbsafp,geoid,name,lsad,name_short,lat,lon
NA,10460,10460,"Alamogordo, NM",M2,Alamogordo,32.6155988,-105.7513079
NA,10500,10500,"Albany, GA",M1,Albany,31.6444531,-84.1119078
104,10580,10580,"Albany-Schenectady-Troy, NY",M1,Albany,42.7879202,-73.9423479
172,10620,10620,"Albemarle, NC",M2,Albemarle,35.3104492,-80.2543742
NA,10660,10660,"Albert Lea, MN",M2,Albert Lea,43.6742019,-93.3502887
NA,10700,10700,"Albertville, AL",M2,Albertville,34.3095637,-86.3216681
106,10740,10740,"Albuquerque, NM",M1,Albuquerque,35.1234965,-106.4583918
388,10760,10760,"Alexander City, AL",M2,Alexander City,32.9004862,-86.002932
NA,10780,10780,"Alexandria, LA",M1,Alexandria,31.3253478,-92.5468034
NA,10820,10820,"Alexandria, MN",M2,Alexandria,45.9368293,-95.462156
204,10860,10860,"Alice, TX",M2,Alice,27.6977432,-98.3908809
NA,10900,10900,"Allentown-Bethlehem-Easton, PA-NJ",M1,Allentown,40.7893392,-75.398158
394,10940,10940,"Alma, MI",M2,Alma,43.2923259,-84.60469
NA,10980,10980,"Alpena, MI",M2,Alpena,44.894954,-83.4265739
107,11020,11020,"Altoona, PA",M1,Altoona,40.4986536,-78.3095974
NA,11060,11060,"Altus, OK",M2,Altus,34.5940059,-99.4122347
108,11100,11100,"Amarillo, TX",M1,Amarillo,35.2478969,-101.9086384
218,11180,11180,"Ames, IA",M1,Ames,42.0361281,-93.6980079
NA,11260,11260,"Anchorage, AK",M1,Anchorage,62.2127844,-149.6782218
220,11460,11460,"Ann Arbor, MI",M1,Ann Arbor,42.2522168,-83.8434233
NA,11500,11500,"Anniston-Oxford, AL",M1,Anniston,33.7705162,-85.8279089
NA,11620,11620,"Ardmore, OK",M2,Ardmore,34.1258229,-97.2639184
120,11700,11700,"Asheville, NC",M1,Asheville,35.5956693,-82.6816145
NA,11820,11820,"Astoria, OR",M2,Astoria,46.0245094,-123.7050366
NA,49260,49260,"Woodward, OK",M2,Woodward,36.3312927,-99.5006858
148,49340,49340,"Worcester, MA-CT",M1,"Worcester, MA",42.2173112,-71.9255354
NA,49380,49380,"Worthington, MN",M2,Worthington,43.6776863,-95.7631323
NA,49420,49420,"Yakima, WA",M1,Yakima,46.4565581,-120.7401446
NA,49460,49460,"Yankton, SD",M2,Yankton,43.006603,-97.3883614
276,49620,49620,"York-Hanover, PA",M1,York,39.9217514,-76.7288887
566,49660,49660,"Youngstown-Warren-Boardman, OH-PA",M1,Youngstown,41.23646,-80.5617836
472,49700,49700,"Yuba City, CA",M1,Yuba City,39.1609692,-121.5118327
NA,49740,49740,"Yuma, AZ",M1,Yuma,32.7739424,-113.910905
198,49780,49780,"Zanesville, OH",M2,Zanesville,39.9660457,-81.9435064
104,24020,24020,"Glens Falls, NY",M1,Glens Falls,43.4404503,-73.6367573
233,24060,24060,"Glenwood Springs, CO",M2,Glenwood Springs,39.5095415,-107.6673111
NA,24140,24140,"Goldsboro, NC",M1,Goldsboro,35.3541896,-78.0086695
206,24180,24180,"Granbury, TX",M2,Granbury,32.430149,-97.8316766
NA,24220,24220,"Grand Forks, ND-MN",M1,"Grand Forks, ND",47.835929,-96.8426809
NA,24260,24260,"Grand Island, NE",M1,Grand Island,41.0839258,-98.3742176
NA,24300,24300,"Grand Junction, CO",M1,Grand Junction,39.019524,-108.4605707
NA,24330,24330,"Grand Rapids, MN",M2,Grand Rapids,47.4908166,-93.6111022
266,24340,24340,"Grand Rapids-Kentwood, MI",M1,Grand Rapids,43.0375977,-85.7781669
NA,24380,24380,"Grants, NM",M2,Grants,34.9282721,-107.9926805
366,24420,24420,"Grants Pass, OR",M1,Grants Pass,42.3869829,-123.5716197
NA,24460,24460,"Great Bend, KS",M2,Great Bend,38.4812394,-98.7678374
NA,24500,24500,"Great Falls, MT",M1,Great Falls,47.3165751,-111.3502622
216,24540,24540,"Greeley, CO",M1,Greeley,40.555961,-104.383666
267,24580,24580,"Green Bay, WI",M1,Green Bay,44.4740244,-87.9961303
268,24660,24660,"Greensboro-High Point, NC",M1,Greensboro,36.0252039,-79.7926333
NA,24740,24740,"Greenville, MS",M2,Greenville,33.273174,-90.9444459
272,24780,24780,"Greenville, NC",M1,Greenville,35.5924897,-77.3727387
273,24860,24860,"Greenville-Anderson, SC",M1,Greenville,34.6837085,-82.4134227
NA,24900,24900,"Greenwood, MS",M2,Greenwood,33.4913047,-90.1136329
273,24940,24940,"Greenwood, SC",M2,Greenwood,34.1557959,-82.1278759
NA,25060,25060,"Gulfport-Biloxi, MS",M1,Gulfport,30.4801526,-88.9992972
548,25180,25180,"Hagerstown-Martinsburg, MD-WV",M1,Hagerstown,39.5544327,-77.9845935
NA,25200,25200,"Hailey, ID",M2,Hailey,43.4458226,-114.1838999
260,25260,25260,"Hanford-Corcoran, CA",M1,Hanford,36.072478,-119.8155301
276,25420,25420,"Harrisburg-Carlisle, PA",M1,Harrisburg,40.335915,-77.0504897
NA,25460,25460,"Harrison, AR",M2,Harrison,36.0878092,-93.1620533
278,25540,25540,"Hartford-East Hartford-Middletown, CT",M1,Hartford,41.7186503,-72.5739191
NA,25580,25580,"Hastings, NE",M2,Hastings,40.5206322,-98.5000441
279,25620,25620,"Hattiesburg, MS",M1,Hattiesburg,31.2737661,-89.3006335
NA,25740,25740,"Helena, MT",M2,Helena,46.8113536,-112.2840307
NA,25840,25840,"Hermiston-Pendleton, OR",M2,Hermiston,45.5446021,-119.0761905
NA,25860,25860,"Hickory-Lenoir-Morganton, NC",M1,Hickory,35.8146111,-81.4570656
NA,25900,25900,"Hilo, HI",M2,Hilo,19.5977643,-155.5024434
NA,25940,25940,"Hilton Head Island-Bluffton, SC",M1,Hilton Head Island,32.3867916,-80.8308775
NA,26020,26020,"Hobbs, NM",M2,Hobbs,32.7956865,-103.4132707
NA,26340,26340,"Houghton, MI",M2,Houghton,47.6819737,-88.1487965
NA,26380,26380,"Houma-Thibodaux, LA",M1,Houma,29.3341299,-90.8436739
288,26420,26420,"Houston-The Woodlands-Sugar Land, TX",M1,Houston,29.7495926,-95.3536422
290,26620,26620,"Huntsville, AL",M1,Huntsville,34.7832617,-86.7348706
288,26660,26660,"Huntsville, TX",M2,Huntsville,30.7431631,-95.5698246
NA,26700,26700,"Huron, SD",M2,Huron,44.3113913,-98.3823862
NA,26740,26740,"Hutchinson, KS",M2,Hutchinson,37.9481849,-98.0783463
292,26820,26820,"Idaho Falls, ID",M1,Idaho Falls,43.620423099999996,-112.4209193
430,26860,26860,"Indiana, PA",M2,Indiana,40.6514319,-79.0875451
294,26900,26900,"Indianapolis-Carmel-Anderson, IN",M1,Indianapolis,39.74867,-86.2123823
168,26980,26980,"Iowa City, IA",M1,Iowa City,41.5178058,-91.6479303
361,27020,27020,"Iron Mountain, MI-WI",M2,"Iron Mountain, MI",45.9477052,-88.0809696
296,27060,27060,"Ithaca, NY",M1,Ithaca,42.4530063,-76.4734835
NA,27100,27100,"Jackson, MI",M1,Jackson,42.2484738,-84.4208679
298,27140,27140,"Jackson, MS",M1,Jackson,32.4282801,-90.2023875
NA,27220,27220,"Jackson, WY-ID",M2,"Jackson, WY",44.048662,-110.426087
300,27260,27260,"Jacksonville, FL",M1,Jacksonville,30.2365943,-81.7544462
522,27300,27300,"Jacksonville, IL",M2,Jacksonville,39.6939496,-90.2850474
NA,27340,27340,"Jacksonville, NC",M1,Jacksonville,34.7631087,-77.4994691
540,27380,27380,"Jacksonville, TX",M2,Jacksonville,31.8438807,-95.1563425
NA,27420,27420,"Jamestown, ND",M2,Jamestown,46.9722235,-98.9561228
NA,27460,27460,"Jamestown-Dunkirk-Fredonia, NY",M2,Jamestown,42.3042159,-79.4075949
357,27500,27500,"Janesville-Beloit, WI",M1,Janesville,42.6698802,-89.0752844
NA,27540,27540,"Jasper, IN",M2,Jasper,38.3841559,-87.0359535
309,27900,27900,"Joplin, MO",M1,Joplin,37.0555457,-94.3397364
NA,27940,27940,"Juneau, AK",M2,Juneau,58.3729099,-134.1784454
NA,27980,27980,"Kahului-Wailuku-Lahaina, HI",M1,Kahului,20.8559308,-156.6015502
310,28020,28020,"Kalamazoo-Portage, MI",M1,Kalamazoo,42.2462657,-85.5328544
NA,28060,28060,"Kalispell, MT",M2,Kalispell,48.3146779,-114.0542951
312,28140,28140,"Kansas City, MO-KS",M1,"Kansas City, MO",38.9318494,-94.4438241
NA,28180,28180,"Kapaa, HI",M2,Kapaa,22.0120383,-159.7059653
NA,28260,28260,"Kearney, NE",M2,Kearney,40.7391446,-99.0315562
NA,28300,28300,"Keene, NH",M2,Keene,42.9254596,-72.2481828
313,28420,28420,"Kennewick-Richland, WA",M1,Kennewick,46.3639636,-119.2540459
314,28500,28500,"Kerrville, TX",M2,Kerrville,30.059953,-99.3533388
NA,28540,28540,"Ketchikan, AK",M2,Ketchikan,55.4499378,-131.1066847
370,28580,28580,"Key West, FL",M2,Key West,24.7688833,-80.9532703
545,28620,28620,"Kill Devil Hills, NC",M2,Kill Devil Hills,35.6062688,-75.7675364
NA,28660,28660,"Killeen-Temple, TX",M1,Killeen,31.2027301,-97.7896384
304,28700,28700,"Kingsport-Bristol, TN-VA",M1,Kingsport,36.6041611,-82.4401446
204,28780,28780,"Kingsville, TX",M2,Kingsville,27.1139432,-97.5685077
272,28820,28820,"Kinston, NC",M2,Kinston,35.2400677,-77.6355095
NA,28860,28860,"Kirksville, MO",M2,Kirksville,40.2844889,-92.5651239
NA,28900,28900,"Klamath Falls, OR",M2,Klamath Falls,42.6837613,-121.6461682
315,28940,28940,"Knoxville, TN",M1,Knoxville,36.0147907,-84.2067014
316,29020,29020,"Kokomo, IN",M1,Kokomo,40.4835368,-86.1141178
148,29060,29060,"Laconia, NH",M2,Laconia,43.5191091,-71.4253661
NA,29100,29100,"La Crosse-Onalaska, WI-MN",M1,La Crosse,43.7832461,-91.318743
318,29180,29180,"Lafayette, LA",M1,Lafayette,29.9577733,-92.0493498
320,29200,29200,"Lafayette-West Lafayette, IN",M1,Lafayette,40.4821533,-87.0171117
NA,29260,29260,"La Grande, OR",M2,La Grande,45.3040809,-117.9991488
324,29340,29340,"Lake Charles, LA",M1,Lake Charles,29.9787547,-93.2532434
NA,29420,29420,"Lake Havasu City-Kingman, AZ",M1,Lake Havasu City,35.717705,-113.7496891
422,29460,29460,"Lakeland-Winter Haven, FL",M1,Lakeland,27.9536488,-81.6935337
NA,29540,29540,"Lancaster, PA",M1,Lancaster,40.0419921,-76.250198
NA,29620,29620,"Lansing-East Lansing, MI",M1,Lansing,42.7712334,-84.4960294
NA,29660,29660,"Laramie, WY",M2,Laramie,41.6655141,-105.7218826
