usaf,wban,query,lat,lon,timezone_offset,timezone,country_iso,country,country_code,state,postcode,city
471610,99999,"35.086,128.0765",35.086,128.0765,NA,NA,KR,South Korea,kr,South Gyeongsang,52516,Sacheon-si
106350,99999,"50.217,8.45",50.217,8.45,3600,CET,DE,Germany,de,Hesse,61462,Königstein
858310,99999,"-43.117,-73.633",-43.117,-73.633,-10800,-3,CL,Chile,cl,Los Lagos Region,590000,NA
958450,99999,"-38.233,143.783",-38.233,143.783,39600,AEDT,AU,Australia,au,Victoria,NA,NA
618760,99999,"8.883,-11.95",8.883,-11.95,0,GMT,SL,Sierra Leone,sl,Bombali District,NA,NA
994012,99999,"41.745,-124.183",41.745,-124.183,-28800,PST,US,United States of America,us,California,75531,Crescent City
062480,99999,"52.633,5.167",52.633,5.167,3600,CET,NL,The Netherlands,nl,North Holland,1608EP,Drechterland
741200,99999,"54.417,-110.283",54.417,-110.283,-25200,MST,CA,Canada,ca,Alberta,T9M 1T6,Cold Lake
31580,NA,"55.7,-2.383",55.7,-2.383,0,GMT,GB,United Kingdom,gb,Scotland,TD10 6UJ,NA
113250,99999,"47.383,11.75",47.383,11.75,3600,CET,AT,Austria,at,Tyrol,6220,NA
720352,99999,"28.17,-89.22",28.17,-89.22,NA,NA,US,United States of America,us,NA,NA,NA
818210,99999,"-5.65,-48.117",-5.65,-48.117,-10800,-3,BR,Brazil,br,Tocantins,NA,NA
690290,99999,"27.833,-97.067",27.833,-97.067,NA,NA,US,United States of America,us,Texas,78373,Port Aransas
911803,99999,"21.316,-157.927",21.316,-157.927,-36000,HST,US,United States of America,us,Hawaii,96820,Honolulu
121310,99999,"54.583,16.85",54.583,16.85,3600,CET,PL,Poland,pl,Pomeranian Voivodeship,76-270,NA
26170,NA,"55.383,13.067",55.383,13.067,3600,CET,SE,Sweden,se,Skåne,NA,NA
028234,99999,"67.7,24.833",67.7,24.833,7200,EET,FI,Finland,fi,Northern Finland,99101,NA
722345,3866,"32.55,-88.567",32.55,-88.567,-21600,CST,US,United States of America,us,Mississippi,39309,NA
418980,99999,"24.45,89.7",24.45,89.7,21600,6,BD,Bangladesh,bd,Rajshahi Division,6700,NA
857580,99999,"-39.35,-72.633",-39.35,-72.633,-10800,-3,CL,Chile,cl,Araucanía Region,NA,NA
726115,54740,"43.347,-72.5175",43.347,-72.5175,-18000,EST,US,United States of America,us,NA,05151,Weathersfield
726115,99999,"43.347,-72.5175",43.347,-72.5175,-18000,EST,US,United States of America,us,NA,05151,Weathersfield
577150,99999,"0,0",0,0,NA,NA,NA,NA,NA,NA,NA,NA
14520,NA,"58.204,8.085",58.204,8.085,3600,CET,NO,Norway,no,West Agder,4657,NA
061690,99999,"56.017,11.283",56.017,11.283,3600,CET,DK,Denmark,dk,Region Zealand,NA,NA
983270,99999,"15.186,120.56",15.186,120.56,28800,PHT,PH,Philippines,ph,Pampanga,2010,Mabalacat
71450,NA,"48.767,2",48.767,2,3600,CET,FR,France,fr,Ile-de-France,78190,NA
858860,99999,"-46.583,-71.687",-46.583,-71.687,-10800,-3,CL,Chile,cl,Aysén Region,6050000,NA
652460,99999,"6.2,7.05",6.2,7.05,3600,WAT,NG,Nigeria,ng,Anambra,NA,NA
305420,99999,"54.85,111.15",54.85,111.15,28800,8,RU,Russia,ru,Buryatia,NA,Улюнхан эвенкийское сельское поселение
061260,99999,"55.317,10.433",55.317,10.433,3600,CET,DK,Denmark,dk,Region of Southern Denmark,5792,NA
429710,99999,"20.244,85.818",20.244,85.818,19800,IST,IN,India,in,Odisha,751002,Bhubaneswar Municipal Corporation
588380,99999,"0,0",0,0,NA,NA,NA,NA,NA,NA,NA,NA
225250,99999,"64.567,34.917",64.567,34.917,10800,MSK,RU,Russia,ru,Republic of Karelia,NA,Беломорское городское поселение
997651,99999,"40,-53.3",40,-53.3,NA,NA,NA,NA,NA,NA,NA,NA
722745,23109,"32.167,-110.883",32.167,-110.883,-25200,MST,US,United States of America,us,Arizona,85707-3529,Tucson
722745,99999,"32.167,-110.883",32.167,-110.883,-25200,MST,US,United States of America,us,Arizona,85707-3529,Tucson
012920,99999,"63.417,11.7",63.417,11.7,3600,CET,NO,Norway,no,Nord-Trøndelag,7530,NA
024980,99999,"59.45,19.5",59.45,19.5,NA,NA,SE,Sweden,se,Stockholms län,NA,NA
023460,99999,"61.783,16.55",61.783,16.55,3600,CET,SE,Sweden,se,Gävleborgs län,82060,NA
24640,NA,"59.354,17.942",59.354,17.942,3600,CET,SE,Sweden,se,Stockholms län,22109,NA
685890,99999,"-29.267,29.517",-29.267,29.517,7200,SAST,ZA,RSA,za,KwaZulu-Natal,NA,NA
687120,99999,"-32.833,17.85",-32.833,17.85,7200,SAST,ZA,RSA,za,Western Cape,NA,Saldanha Bay Local Municipality
400660,99999,"34.817,36.133",34.817,36.133,7200,EET,SY,Syria,sy,Tartus,NA,NA
486600,99999,"3,101.417",3,101.417,28800,8,MY,Malaysia,my,Selangor,42000,Klang
415090,99999,"35.5,71.7",35.5,71.7,18000,PKT,PK,Pakistan,pk,Khyber Pakhtunkhwa,NA,NA
725061,14704,"41.4515,-70.289",41.451499999999996,-70.289,-18000,EST,US,United States of America,us,Massachusetts,NA,NA
725061,14756,"41.4515,-70.289",41.451499999999996,-70.289,-18000,EST,US,United States of America,us,Massachusetts,NA,NA
247960,99999,"62.533,149.633",62.533,149.633,39600,11,RU,Russia,ru,Magadan Oblast,NA,NA
232560,99999,"67.467,78.733",67.467,78.733,18000,5,RU,Russia,ru,Yamalo-Nenets Autonomous Okrug,NA,сельское поселение Тазовский
332970,99999,"50.1,25.15",50.1,25.15,7200,EET,UA,Ukraine,ua,Lviv Oblast,NA,Brody City Council
66540,NA,"47.467,8.167",47.467,8.167,3600,CET,CH,Switzerland,ch,Aargau,5213,NA
336210,99999,"49.15,34.2",49.15,34.2,7200,EET,UA,Ukraine,ua,Poltava Oblast,39200,NA
122030,99999,"53.95,14.467",53.95,14.467,3600,CET,PL,Poland,pl,West Pomeranian Voivodeship,72-500,NA
63250,NA,"51.65,3.933",51.65,3.933,3600,CET,NL,The Netherlands,nl,Zeeland,4301MV,Schouwen-Duiveland
411120,99999,"18.24,42.657",18.24,42.657,10800,AST,SA,Saudi Arabia,sa,NA,NA,NA
948550,99999,"-36.733,144.317",-36.733,144.317,39600,AEDT,AU,Australia,au,Victoria,3551,NA
631370,99999,"57.8,1.8",57.8,1.8,NA,NA,NA,NA,NA,NA,NA,NA
838740,99999,"-26.25,-48.65",-26.25,-48.65,-10800,BRT,BR,Brazil,br,Santa Catarina,NA,NA
420810,99999,"31.833,77.167",31.833,77.167,19800,IST,IN,India,in,Himachal Pradesh,NA,NA
475830,99999,"40.192,140.371",40.192,140.371,32400,JST,JP,Japan,jp,Akita Prefecture,NA,Kitaakita
866920,99999,"-14.083,-46.367",-14.083,-46.367,-10800,-3,BR,Brazil,br,Goiás,NA,NA
720542,166,"30.5,-97.967",30.5,-97.967,-21600,CST,US,United States of America,us,Texas,78645,Lago Vista
720542,99999,"30.5,-97.967",30.5,-97.967,-21600,CST,US,United States of America,us,Texas,78645,Lago Vista
307080,99999,"52.05,101.067",52.05,101.067,28800,8,RU,Russia,ru,Buryatia,NA,Сойотское сельское поселение
992000,99999,"24.5,-81.4",24.5,-81.4,-21600,CST,US,United States of America,us,NA,NA,NA
722908,99999,"33.667,-117.733",33.667,-117.733,-28800,PST,US,United States of America,us,California,92618,Irvine
077370,99999,"42.61,2.1",42.61,2.1,3600,CET,FR,France,fr,Occitania,66210,NA
636735,99999,"-1.405,35.008",-1.405,35.008,10800,EAT,KE,Kenya,ke,Narok,NA,NA
433990,99999,"27.403,89.425",27.403,89.425,21600,6,BT,Bhutan,bt,Paro District,NA,NA
080830,99999,"42.467,-2.383",42.467,-2.383,3600,CET,ES,Spain,es,Rioja,26142,Logroño
283460,99999,"57.367,61.917",57.367,61.917,18000,5,RU,Russia,ru,Sverdlovsk Oblast,623780,NA
032690,99999,"54.65,-1.133",54.65,-1.133,0,GMT,GB,United Kingdom,gb,England,TS10 5NX,NA
948800,99999,"-37.9,145.967",-37.9,145.967,39600,AEDT,AU,Australia,au,Victoria,NA,NA
614150,99999,"20.933,-17.03",20.933,-17.03,0,GMT,MR,Mauritania,mr,Dakhlet Nouadhibou,٢٩٧,Nouadhibou
24520,NA,"59.3,14.9",59.3,14.9,3600,CET,SE,Sweden,se,Örebro län,719 41,NA
638430,99999,"-5.1,38.633",-5.1,38.633,10800,EAT,TZ,Tanzania,tz,Tanga,NA,NA
720779,461,"31.6405,-96.5145",31.6405,-96.5145,-21600,CST,US,United States of America,us,Texas,76667,NA
720779,99999,"31.6405,-96.5145",31.6405,-96.5145,-21600,CST,US,United States of America,us,Texas,76667,NA
719460,99999,"61.76,-121.237",61.76,-121.237,-25200,MST,CA,Canada,ca,Northwest Territories,NA,NA
997602,99999,"41.7,149.7",41.7,149.7,NA,NA,NA,NA,NA,NA,NA,NA
372860,99999,"42.733,42.483",42.733,42.483,14400,4,GE,Georgia,ge,Samegrelo-Upper Svaneti,NA,NA
