GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US15620,15620,"Cadillac, MI Micro Area",47584,47584,47553,47530,47509,47516,47811,47760,48122,48274
310M300US15660,15660,"Calhoun, GA Micro Area",55186,55186,55219,55497,55689,55779,55878,56387,56987,57089
310M300US15680,15680,"California-Lexington Park, MD Metro Area",105151,105148,105764,107585,108831,109275,110016,111100,111835,112667
310M300US15700,15700,"Cambridge, MD Micro Area",32618,32618,32682,32700,32475,32575,32513,32411,32267,32162
310M300US15740,15740,"Cambridge, OH Micro Area",40087,40091,40127,39902,39871,39705,39689,39385,39200,39093
310M300US15780,15780,"Camden, AR Micro Area",31488,31489,31402,30971,30666,30134,29918,29513,29181,29115
310M300US15820,15820,"Campbellsville, KY Micro Area",24512,24512,24673,24993,25076,25149,25372,25601,25437,25472
310M300US15860,15860,"Cañon City, CO Micro Area",46824,46824,46830,47315,46975,46260,46075,46204,46906,47559
310M300US15900,15900,"Canton, IL Micro Area",37069,37069,37074,36906,36586,36325,35992,35721,35517,35110
310M300US15940,15940,"Canton-Massillon, OH Metro Area",404422,404428,404214,403291,403403,403281,403680,402435,401165,399927
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",618754,618754,620467,631077,644580,660431,678241,700421,722506,739224
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",96275,96275,96448,96937,97193,97187,97396,97231,97085,96782
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",126575,126580,126813,127041,125752,127067,126712,126896,126672,125612
310M300US16100,16100,"Carlsbad-Artesia, NM Micro Area",53829,53829,53908,54037,54358,55518,56516,57479,57456,56997
310M300US16140,16140,"Carroll, IA Micro Area",20816,20816,20824,20853,20651,20538,20496,20420,20366,20320
310M300US16180,16180,"Carson City, NV Metro Area",55274,55274,54988,54703,54362,53791,54155,54123,54283,54745
310M300US16220,16220,"Casper, WY Metro Area",75450,75450,75456,76421,78583,81101,81439,82134,80892,79547
310M300US16260,16260,"Cedar City, UT Micro Area",46163,46163,46261,46620,46642,46532,47050,48139,49796,51001
310M300US16300,16300,"Cedar Rapids, IA Metro Area",257940,257941,258395,260796,261740,262449,263963,265984,267925,270293
310M300US16340,16340,"Cedartown, GA Micro Area",41475,41475,41531,41305,41131,41073,40961,41372,41730,42085
310M300US16380,16380,"Celina, OH Micro Area",40814,40814,40786,40706,40700,40607,40721,40706,40710,40873
310M300US16420,16420,"Central City, KY Micro Area",31499,31499,31656,31527,31388,31331,31307,31248,31064,30816
310M300US16460,16460,"Centralia, IL Micro Area",39437,39437,39420,39138,39006,38671,38545,38341,38066,37902
310M300US16500,16500,"Centralia, WA Micro Area",75455,75457,75500,75657,75440,74974,74837,75419,76630,78200
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",149618,149618,149930,150952,151477,151855,152459,152903,153564,154234
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",231891,231889,232333,233391,234478,235731,237028,238228,239135,239124
310M300US16620,16620,"Charleston, WV Metro Area",227078,227061,226901,225823,225696,224644,222802,220236,217735,214406
310M300US16660,16660,"Charleston-Mattoon, IL Micro Area",64921,64921,64921,64682,64244,63927,63638,63442,63304,62887
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",664607,664644,667466,681261,696993,711407,726770,745061,761904,775831
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2216992,2223196,2256180,2293822,2334036,2376148,2424115,2475519,2525305
310M300US16820,16820,"Charlottesville, VA Metro Area",218705,218707,219025,220947,222649,224057,226297,228818,231160,233793
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",528143,528152,529196,533540,538108,542036,544017,547232,551957,556548
310M300US16940,16940,"Cheyenne, WY Metro Area",91738,91881,92219,92587,94704,95731,96123,97005,97968,98327
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461541,9471312,9497177,9525765,9548402,9560874,9557503,9546326,9533040
310M300US17020,17020,"Chico, CA Metro Area",220000,220002,219957,220003,220969,221768,223629,224818,226525,229294
310M300US17060,17060,"Chillicothe, OH Micro Area",78064,78065,78088,77559,77355,77254,77078,77068,76910,77313
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2114580,2114686,2117729,2122544,2128106,2136269,2146562,2155674,2166029,2179082
310M300US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",218466,218467,218410,218136,217478,217293,217144,216260,216458,216537
310M300US17220,17220,"Clarksburg, WV Micro Area",94196,94196,94348,94482,94368,94449,94236,94133,93810,93301
310M300US17260,17260,"Clarksdale, MS Micro Area",26151,26145,26106,25846,25613,25181,24842,24481,23820,23154
310M300US17300,17300,"Clarksville, TN-KY Metro Area",260625,260635,261619,264163,274004,272031,276442,279865,280843,285042
310M300US17340,17340,"Clearlake, CA Micro Area",64665,64665,64742,64273,64005,63855,64113,64310,63950,64246
310M300US17380,17380,"Cleveland, MS Micro Area",34145,34148,34099,33794,33988,33974,33803,33251,32634,31945
310M300US17420,17420,"Cleveland, TN Metro Area",115788,115758,115913,116583,117674,118383,119501,120565,121177,122317
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",2077240,2077271,2075557,2068991,2064711,2065844,2066227,2062842,2060065,2058844
310M300US17500,17500,"Clewiston, FL Micro Area",39140,39140,39015,38941,37846,37767,38473,39094,39640,40347
310M300US17540,17540,"Clinton, IA Micro Area",49116,49116,49092,49086,48700,48264,47882,47545,47236,47010
310M300US17580,17580,"Clovis, NM Micro Area",48376,48376,48964,49710,50652,50494,50874,50068,50168,49812
310M300US17620,17620,"Coamo, PR Micro Area",40512,40512,40576,40569,40470,40412,40161,39875,39459,39071
310M300US17640,17640,"Coco, PR Micro Area",31078,31078,31042,30761,30411,30176,29740,29286,28777,28216
