"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00382757","1952","34.0627","-79.7555","32.3","EFFINGHAM, SC US","108","0","78","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","108.0",",0,0831,","","","","","","","","","","","","","","","","","","","","","","","1168.5",",0","0",",0","","","","","",""
"USC00382757","1953","34.0627","-79.7555","32.3","EFFINGHAM, SC US","102","0","73","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","78.2",",0,0609,","","","","","","","","","","","","","","","","","","","","","","","1040.7",",0","0",",0","","","","","",""
"USC00382757","1954","34.0627","-79.7555","32.3","EFFINGHAM, SC US","82","0","51","0","0","","0","0","","","","","","","","","","","","","0","T,0,1220,","0","T,0,1220,","105.4",",0,1015,","","","","","","","","","","","","","","","","","","","","","","","725.4",",0","0","T,0","","","","","",""
"USC00382757","1955","34.0627","-79.7555","32.3","EFFINGHAM, SC US","107","0","68","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","63.5",",0,0926,","","","","","","","","","","","","","","","","","","","","","","","992.8",",0","0",",0","","","","","",""
"USC00382757","1956","34.0627","-79.7555","32.3","EFFINGHAM, SC US","105","0","67","0","0","","0","0","","","","","","","","","","","","","0","T,0,0110,","0","T,0,0110,","81.0",",0,0602,","","","","","","","","","","","","","","","","","","","","","","","940.3",",0","0","T,0","","","","","",""
"USC00382757","1957","34.0627","-79.7555","32.3","EFFINGHAM, SC US","123","0","84","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","57.2",",0,0325,","","","","","","","","","","","","","","","","","","","","","","","1069.5",",0","0",",0","","","","","",""
"USC00382757","1958","34.0627","-79.7555","32.3","EFFINGHAM, SC US","122","0","89","0","6","","2","0","","","","","","","","","","","","","51",",0,1212,+","51",",0,0213,","74.2",",0,0416,","","","","","","","","","","","","","","","","","","","","","","","1269.6",",0","89",",0","","","","","",""
"USC00382757","1959","34.0627","-79.7555","32.3","EFFINGHAM, SC US","134","0","97","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","82.8",",0,0930,","","","","","","","","","","","","","","","","","","","","","","","1673.3",",0","0",",0","","","","","",""
"USC00382757","1960","34.0627","-79.7555","32.3","EFFINGHAM, SC US","98","0","62","0","1","","1","0","","","","","","","","","","","","","51",",0,0312,","51",",0,0312,","96.0",",0,0912,","","","","","","","","","","","","","","","","","","","","","","","1145.6",",0","51",",0","","","","","",""
"USC00382757","1961","34.0627","-79.7555","32.3","EFFINGHAM, SC US","105","0","76","0","2","","0","0","","","","","","","","","","","","","25",",0,0127,+","13",",0,0126,","67.8",",0,0401,","","","","","","","","","","","","","","","","","","","","","","","1191.2",",0","13",",0","","","","","",""
"USC00382757","1962","34.0627","-79.7555","32.3","EFFINGHAM, SC US","115","0","76","0","0","","0","0","","","","","","","","","","","","","0","T,0,0113,+","0","T,0,0113,+","58.9",",0,0927,","","","","","","","","","","","","","","","","","","","","","","","1080.3",",0","0","T,0","","","","","",""
"USC00382757","1963","34.0627","-79.7555","32.3","EFFINGHAM, SC US","101","0","63","0","1","","1","0","","","","","","","","","","","","","25",",0,0227,","25",",0,0227,","75.7",",0,0529,","","","","","","","","","","","","","","","","","","","","","","","868.4",",0","25",",0","","","","","",""
"USC00382757","1964","34.0627","-79.7555","32.3","EFFINGHAM, SC US","126","0","86","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","105.4",",0,1005,","","","","","","","","","","","","","","","","","","","","","","","1683.3",",0","0",",0","","","","","",""
"USC00382757","1965","34.0627","-79.7555","32.3","EFFINGHAM, SC US","117","0","74","0","1","","1","0","","","","","","","","","","","","","25",",0,0131,","25",",0,0131,","83.1",",0,0914,","","","","","","","","","","","","","","","","","","","","","","","1283.4",",0","25",",0","","","","","",""
"USC00382757","1966","34.0627","-79.7555","32.3","EFFINGHAM, SC US","103","0","73","0","0","","0","0","","","","","","","","","","","","","0","T,0,0128,","0",",0,1231,+","72.6",",0,0611,","","","","","","","","","","","","","","","","","","","","","","","1104.8",",0","0",",0","","","","","",""
"USC00382757","1967","34.0627","-79.7555","32.3","EFFINGHAM, SC US","92","0","74","0","1","","0","0","","","","","","","","","","","","","25",",0,0210,","13",",0,0210,","60.2",",0,0910,","","","","","","","","","","","","","","","","","","","","","","","870.3",",0","13",",0","","","","","",""
"USC00382757","1968","34.0627","-79.7555","32.3","EFFINGHAM, SC US","97","0","71","0","3","","","","","","","","","","","","","","","","25",",0,0225,+","","","93.2",",0,1020,","","","","","","","","","","","","","","","","","","","","","","","1183.1",",0","","","","","","","",""
"USC00382757","1969","34.0627","-79.7555","32.3","EFFINGHAM, SC US","94","0","62","0","0","","0","0","","","","","","","","","","","","","0","T,0,0217,","0","T,0,0217,+","50.8",",0,0805,","","","","","","","","","","","","","","","","","","","","","","","980.8",",0","0","T,0","","","","","",""
"USC00382757","1970","34.0627","-79.7555","32.3","EFFINGHAM, SC US","103","0","75","0","1","","1","0","","","","","","","","","","","","","51",",0,0124,","51",",0,0124,","55.4",",0,0322,","","","","","","","","","","","","","","","","","","","","","","","1007.8",",0","51",",0","","","","","",""
"USC00382757","1971","34.0627","-79.7555","32.3","EFFINGHAM, SC US","122","0","86","0","0","","0","0","","","","","","","","","","","","","0","T,0,0326,","0","T,0,0326,","64.0",",0,0302,","","","","","","","","","","","","","","","","","","","","","","","1362.9",",0","0","T,0","","","","","",""
"USC00382757","1972","34.0627","-79.7555","32.3","EFFINGHAM, SC US","107","0","73","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","46.0",",0,0705,","","","","","","","","","","","","","","","","","","","","","","","1170.2",",0","0",",0","","","","","",""
"USC00382757","1973","34.0627","-79.7555","32.3","EFFINGHAM, SC US","108","0","77","0","12","","4","0","","","","","","","","","","","","","356",",0,0211,","178",",0,0211,+","50.8",",0,0610,+","","","","","","","","","","","","","","","","","","","","","","","1256.2",",0","445",",0","","","","","",""
"USC00382757","1974","34.0627","-79.7555","32.3","EFFINGHAM, SC US","106","0","76","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","80.8",",0,0814,","","","","","","","","","","","","","","","","","","","","","","","1270.8",",0","0",",0","","","","","",""
"USC00382757","1975","34.0627","-79.7555","32.3","EFFINGHAM, SC US","112","0","85","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","50.8",",0,0531,","","","","","","","","","","","","","","","","","","","","","","","1225.4",",0","0",",0","","","","","",""
"USC00382757","1976","34.0627","-79.7555","32.3","EFFINGHAM, SC US","99","0","70","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","57.4",",0,0628,","","","","","","","","","","","","","","","","","","","","","","","1106.3",",0","0",",0","","","","","",""
"USC00382757","1977","34.0627","-79.7555","32.3","EFFINGHAM, SC US","88","0","61","0","1","","0","0","","","","","","","","","","","","","25",",0,0131,","13",",0,0131,","93.2",",0,0727,","","","","","","","","","","","","","","","","","","","","","","","1160.6",",0","13",",0","","","","","",""
"USC00382757","1978","34.0627","-79.7555","32.3","EFFINGHAM, SC US","93","0","67","0","0","","0","0","","","","","","","","","","","","","0","T,0,0209,+","0","T,0,0209,+","64.5",",0,0717,","","","","","","","","","","","","","","","","","","","","","","","1121.0",",0","0","T,0","","","","","",""
"USC00382757","1979","34.0627","-79.7555","32.3","EFFINGHAM, SC US","106","0","80","0","4","","2","0","","","","","","","","","","","","","102",",0,0219,","51",",0,0219,+","138.4",",0,0905,","","","","","","","","","","","","","","","","","","","","","","","1363.0",",0","102",",0","","","","","",""
"USC00382757","1980","34.0627","-79.7555","32.3","EFFINGHAM, SC US","111","0","78","0","5","","3","0","","","","","","","","","","","","","102",",0,0303,","102",",0,0303,","59.9",",0,0724,","","","","","","","","","","","","","","","","","","","","","","","1082.8",",0","216",",0","","","","","",""
"USC00382757","1981","34.0627","-79.7555","32.3","EFFINGHAM, SC US","88","0","60","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","59.9",",0,0704,","","","","","","","","","","","","","","","","","","","","","","","937.6",",0","0",",0","","","","","",""
"USC00382757","1982","34.0627","-79.7555","32.3","EFFINGHAM, SC US","117","0","79","0","","","0","0","","","","","","","","","","","","","","","0","T,0,0115,","73.7",",0,1025,","","","","","","","","","","","","","","","","","","","","","","","1283.5",",0","0","T,0","","","","","",""
"USC00382757","1983","34.0627","-79.7555","32.3","EFFINGHAM, SC US","103","0","81","0","1","","1","0","","","","","","","","","","","","","76",",0,0325,","76",",0,0325,","94.0",",0,0318,","","","","","","","","","","","","","","","","","","","","","","","1520.2",",0","76",",0","","","","","",""
"USC00382757","1984","34.0627","-79.7555","32.3","EFFINGHAM, SC US","103","0","63","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","55.9",",0,0714,","","","","","","","","","","","","","","","","","","","","","","","1049.7",",0","0",",0","","","","","",""
"USC00382757","1985","34.0627","-79.7555","32.3","EFFINGHAM, SC US","106","0","74","0","","","","","","","","","","","","","","","","","","","","","86.4",",0,0725,","","","","","","","","","","","","","","","","","","","","","","","1172.2",",0","","","","","","","",""
"USC00382757","1986","34.0627","-79.7555","32.3","EFFINGHAM, SC US","104","0","71","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","72.4",",0,0819,","","","","","","","","","","","","","","","","","","","","","","","943.1",",0","0",",0","","","","","",""
"USC00382757","1987","34.0627","-79.7555","32.3","EFFINGHAM, SC US","91","0","71","0","1","","1","0","","","","","","","","","","","","","25",",0,0127,","25",",0,0127,","54.1",",0,0907,","","","","","","","","","","","","","","","","","","","","","","","1101.2",",0","25",",0","","","","","",""
"USC00382757","1988","34.0627","-79.7555","32.3","EFFINGHAM, SC US","93","0","65","0","7","","2","0","","","","","","","","","","","","","102",",0,0110,+","89",",0,0108,","51.6",",0,0413,","","","","","","","","","","","","","","","","","","","","","","","854.3",",0","140",",0","","","","","",""
"USC00382757","1989","34.0627","-79.7555","32.3","EFFINGHAM, SC US","120","0","80","0","5","","2","0","","","","","","","","","","","","","76",",0,1225,+","76",",0,1224,+","61.0",",0,0922,","","","","","","","","","","","","","","","","","","","","","","","1255.0",",0","152",",0","","","","","",""
