"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00316001","1928","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","137","6","92","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,0903,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1426.2",",6","","","","","","","","","",""
"USC00316001","1929","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","147","6","122","6","","","","","","","","","","","","","","","","","","","","","50.8",",6,0926,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1791.7",",6","","","","","","","","","",""
"USC00316001","1930","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","118","6","71","6","","","","","","","","","","","","","","","","","","","","","55.1",",6,0711,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1158.0",",6","","","","","","","","","",""
"USC00316001","1931","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","126","6","80","6","","","","","","","","","","","","","","","","","","","","","53.3",",6,1214,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1150.0",",6","","","","","","","","","",""
"USC00316001","1932","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","143","6","99","6","","","","","","","","","","","","","","","","","","","","","55.6",",6,1228,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1734.3",",6","","","","","","","","","",""
"USC00316001","1933","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","133","6","79","6","","","","","","","","","","","","","","","","","","","","","49.8",",6,0208,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1070.5",",6","","","","","","","","","",""
"USC00316001","1934","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","137","6","89","6","","","","","","","","","","","","","","","","","","","","","54.1",",6,1006,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1476.1",",6","","","","","","","","","",""
"USC00316001","1935","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","125","6","84","6","","","","","","","","","","","","","","","","","","","","","58.4",",6,1113,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1087.8",",6","","","","","","","","","",""
"USC00316001","1936","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","135","6","94","6","","","","","","","","","","","","","","","","","","","","","90.2",",6,0204,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1701.3",",6","","","","","","","","","",""
"USC00316001","1937","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","160","6","99","6","","","","","","","","","","","","","","","","","","","","","63.8",",6,0708,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1356.2",",6","","","","","","","","","",""
"USC00316001","1938","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","138","6","97","6","","","","","","","","","","","","","","","","","","","","","124.0",",6,0408,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1459.6",",6","","","","","","","","","",""
"USC00316001","1939","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","147","6","95","6","","","","","","","","","","","","","","","","","","","","","59.2",",6,0620,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1296.9",",6","","","","","","","","","",""
"USC00316001","1940","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","132","6","81","6","","","","","","","","","","","","","","","","","","","","","45.2",",6,0420,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1016.1",",6","","","","","","","","","",""
"USC00316001","1941","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","120","6","78","6","","","","","","","","","","","","","","","","","","","","","47.2",",6,1028,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1018.7",",6","","","","","","","","","",""
"USC00316001","1942","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","131","6","98","6","","","","","","","","","","","","","","","","","","","","","99.8",",6,1229,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1632.0",",6","","","","","","","","","",""
"USC00316001","1943","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","114","6","78","6","","","","","","","","","","","","","","","","","","","","","77.2",",6,0119,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1332.2",",6","","","","","","","","","",""
"USC00316001","1944","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","135","6","94","6","","","","","","","","","","","","","","","","","","","","","54.9",",6,0327,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1461.0",",6","","","","","","","","","",""
"USC00316001","1949","35.0714","-83.9684","487.7","MURPHY 4 ESE, NC US","","","","","162","0","113","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","104.1",",0,1030,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1767.7",",0","0",",0","","","","","","","6856","0"
