"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00041428","1963","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","688.1","","688.1","0","70","0","38","0","0","","0","0","0","0","27","0","0","0","182","0","76","0","-4.4","0,0113,+","0",",0,1231,+","0",",0,1231,+","60.2",",0,0201,","41.7","0,0927,","1259.5","0","0.0","0,1121","-2.8","0,1224","","","","","0.0","0,0417","-2.8","0,0119","-4.4","0,0113","","","1548.5","","1548.5","0","604.8",",0","0",",0","15.43","0","22.08","0","8.78","0","11392","0"
"USC00041428","1964","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","736.7","","736.7","0","72","0","48","0","0","","0","0","0","0","9","0","0","0","203","0","84","0","-2.8","0,0105,","0",",0,1231,+","0","T,0,0121,","57.4",",0,1223,","41.7","0,0626,","1440.9","0","0.0","0,1229","","","","","","","0.0","0,0307","-2.8","0,0105","","","","","1824.7","","1824.7","0","626.3",",0","0","T,0","15.77","0","23.04","0","8.50","0","13165","0"
"USC00041428","1965","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","651.1","","651.1","0","62","0","39","0","0","","0","0","0","0","11","0","0","0","200","0","68","0","-2.2","0,1223,","0",",0,1231,+","0",",0,1231,+","28.7",",0,1229,","40.6","0,0706,","1354.6","0","-1.1","0,1216","-2.2","0,1223","","","","","0.0","0,0108","","","","","","","1591.1","","1591.1","0","446.5",",0","0",",0","15.58","0","22.44","0","8.73","0","12674","0"
"USC00041428","1966","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","813.6","","813.6","0","50","0","29","0","0","","0","0","0","0","12","0","0","0","219","0","84","0","-1.1","0,0303,+","0",",0,1231,+","0",",0,1231,+","47.2",",0,0130,","42.2","0,0807,+","1639.8","0","-0.6","0,1227","","","","","","","-1.1","0,0303","","","","","","","1475.6","","1475.6","0","390.1",",0","0",",0","16.64","0","23.86","0","9.44","0","12915","0"
"USC00041428","1967","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","979.0","","979.0","0","71","0","46","0","0","","0","0","0","0","12","0","0","0","182","0","98","0","-2.8","0,1215,","0",",0,1231,+","0",",0,1231,+","63.5",",0,0122,","42.2","0,0815,+","1405.0","0","0.0","0,1208","-2.8","0,1215","","","","","0.0","0,0124","","","","","","","1765.4","","1765.4","0","740.2",",0","0",",0","16.21","0","23.03","0","9.39","0","10455","0"
"USC00041428","1968","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","759.3","","759.3","0","64","0","38","0","0","","0","0","0","0","12","0","0","0","210","0","83","0","-2.2","0,1221,","0",",0,1231,+","0",",0,1231,+","59.7",",0,1103,","42.8","0,0706,","1472.0","0","0.0","0,1202","-2.2","0,1221","","","","","0.0","0,0109","","","","","","","1372.1","","1372.1","0","545.3",",0","0",",0","16.35","0","23.34","0","9.36","0","10531","0"
"USC00041428","1969","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","833.8","","833.8","0","69","0","45","0","0","","0","0","0","0","10","0","0","0","200","0","91","0","-1.7","0,0201,+","0",",0,1231,+","0",",0,1231,+","63.0",",0,1106,","41.7","0,0804,","1475.1","0","-0.6","0,1227","","","","","","","0.0","0,0213","","","","","","","1693.2","","1693.2","0","758.1",",0","0",",0","16.19","0","23.11","0","9.28","0","10662","0"
"USC00041428","1970","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","861.7","","861.7","0","73","0","48","0","0","","0","0","0","0","6","0","0","0","200","0","100","0","-2.2","0,1225,","0",",0,1231,+","0",",0,1231,+","53.6",",0,1129,","42.8","0,0704,","1539.7","0","-2.2","0,1225","-2.2","0,1225","","","","","0.0","0,0106","","","","","","","1387.2","","1387.2","0","679.4",",0","0",",0","16.70","0","23.90","0","9.49","0","9643","0"
"USC00041428","1971","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","796.5","","796.5","0","56","0","37","0","0","","0","0","0","0","21","0","0","0","177","0","89","0","-2.2","0,0301,+","0",",0,1231,+","0",",0,1231,+","59.7",",0,1225,","43.3","0,0811,","1445.6","0","0.0","0,1114","","","","","","","0.0","0,0306","-2.2","0,0301","","","","","1722.9","","1722.9","0","455.5",",0","0",",0","15.29","0","22.22","0","8.37","0","10262","0"
"USC00041428","1972","38.2486","-120.8433","200.6","CAMP PARDEE, CA US","760.1","","760.1","0","60","0","35","0","0","","0","0","0","0","37","0","1","0","205","0","85","0","-8.3","0,1209,","0",",0,1231,+","0",",0,1231,+","41.7",",0,1104,","45.6","0,0715,","1472.3","0","-3.3","0,1205","-3.3","0,1205","-8.3","0,1209","-8.3","0,1209","0.0","0,0326","-2.8","0,0202","","","","","1704.9","","1704.9","0","364.2",",0","0",",0","15.62","0","22.55","0","8.68","0","9948","0"
