"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00093140","1987","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2520.8","","2520.8","0","27","0","18","0","0","","0","0","0","0","6","0","0","0","299","0","186","0","-1.7","0,0117,","0",",0,1231,+","0",",0,1231,+","26.2",",0,0224,","45.0","0,0614,","0.0","0,1215","","","-0.6","0,0119","","","","","469.0","","469.0","0","202.2",",0","0",",0","23.72","0","30.64","0","16.80","0"
"USW00093140","1988","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2620.8","","2620.8","0","17","0","13","0","0","","0","0","0","0","4","0","0","0","307","0","191","0","-0.6","0,1229,+","0",",0,1231,+","0",",0,1231,+","53.1",",0,1014,","45.0","0,0623,+","-0.6","0,1227","","","","","","","","","521.1","","521.1","0","178.4",",0","0",",0","24.11","0","30.98","0","17.23","0"
"USW00093140","1989","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2701.1","","2701.1","0","14","0","10","0","0","","0","0","0","0","0","0","0","0","313","0","187","0","0.6","0,0207,+","0",",0,1231,+","0",",0,1231,+","40.6",",0,0104,","46.1","0,0704,","","","","","","","","","","","510.9","","510.9","0","168.0",",0","0",",0","24.56","0","31.62","0","17.50","0"
"USW00093140","1990","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2508.2","","2508.2","0","","","","","","","","","0","0","6","0","0","0","299","0","183","0","-3.9","0,1223,","","","","","","","48.9","0,0626,","-3.9","0,1223","-3.9","0,1223","0.0","0,0216","","","","","508.2","","508.2","0","","","","","23.70","0","30.43","0","16.97","0"
"USW00093140","1991","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","","","","","29","0","22","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","35.6",",0,1219,","","","","","","","","","","","","","","","","","254.4",",0","0",",0","","","","","",""
"USW00093140","1992","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2491.5","","2491.5","0","37","0","26","0","0","","0","0","0","0","0","0","0","0","291","0","185","0","1.7","0,1220,","0",",0,1231,+","0",",0,1231,+","68.6",",0,0724,","43.3","0,0817,+","","","","","","","","","","","451.7","","451.7","0","350.3",",0","0",",0","23.76","0","30.26","0","17.27","0"
"USW00093140","1993","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2439.6","","2439.6","0","37","0","26","0","0","","0","0","0","0","0","0","0","0","297","0","167","0","1.1","0,1224,+","0",",0,1231,+","0",",0,1231,+","56.9",",0,1006,","45.6","0,0801,","","","","","","","","","","","513.4","","513.4","0","383.2",",0","0",",0","23.76","0","30.27","0","17.26","0"
"USW00093140","1994","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","","","","","21","0","13","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.8",",0,0325,","","","","","","","","","","","","","473.5","","473.5","0","126.1",",0","0",",0","","","","","",""
"USW00093140","1997","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","2395.1","","2395.1","0","19","0","12","0","0","","0","0","0","0","0","0","0","0","268","0","168","0","0.6","0,1227,+","0",",0,1231,+","0",",0,1231,+","20.8",",0,0911,","45.0","0,0715,","","","","","","","","","","","","","","","96.1",",0","0",",0","23.93","0","30.39","0","17.47","0"
"USW00093140","1998","33.44889","-112.0825","334.7","PHOENIX CITY, AZ US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625.8","","625.8","","","","","","","","","","",""
