"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414278","1984","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1293.0","","1293.0","0","64","0","46","0","","","0","0","0","0","44","0","4","0","247","0","105","0","-13.3","0,0119,","","","0",",0,1231,+","57.2",",0,1231,","40.0","0,0627,","","","-2.8","0,1122","-2.8","0,1122","","","","","","","-0.6","0,0319","-4.4","0,0306","-4.4","0,0306","-6.7","0,0229","-11.7","0,0122","1557.4","","1557.4","0","682.7",",0","0",",0","17.80","0","24.60","0","11.01","0","72334","0"
"USC00414278","1985","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1316.5","","1316.5","0","49","0","28","0","","","","","1","0","56","0","11","0","243","0","94","0","-17.8","0,0202,","","","","","82.8",",0,0929,","38.9","0,0904,+","","","-1.7","0,1120","-6.1","0,1201","-6.1","0,1201","-8.9","0,1202","-8.9","0,1202","-0.6","0,0331","-3.9","0,0212","-8.3","0,0204","-8.3","0,0204","-15.6","0,0203","1539.6","","1539.6","0","489.2",",0","","","17.46","0","24.01","0","10.92","0","",""
"USC00414278","1987","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","","","","","70","0","48","0","0","","0","0","","","","","4","0","238","0","68","0","","","0",",0,1231,+","0",",0,1231,+","79.8",",0,0529,","37.2","0,0817,+","","","","","","","","","","","","","","","","","","","","","","","1638.3","","1638.3","0","752.0",",0","0",",0","","","23.53","0","","","",""
"USC00414278","1988","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","","","","","45","0","31","0","","","0","0","","","","","2","0","258","0","90","0","","","","","0","T,0,0107,","79.0",",0,0601,","38.9","0,0609,","","","","","","","","","","","","","","","","","","","","","","","","","","","394.2",",0","0","T,0","","","25.11","0","","","",""
"USC00414278","1989","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1096.6","","1096.6","0","59","0","36","0","","","0","0","3","0","64","0","14","0","254","0","96","0","-22.8","0,1223,","","","0",",0,1231,+","82.0",",0,0517,","40.6","0,0719,+","","","-2.8","0,1019","-2.8","0,1019","-6.7","0,1103","-6.7","0,1103","-11.1","0,1212","-3.9","0,0322","-3.9","0,0322","-10.6","0,0307","-10.6","0,0307","-10.6","0,0307","1358.9","","1358.9","0","580.6",",0","0",",0","16.65","0","24.31","0","8.99","0","",""
"USC00414278","1990","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1111.0","","1111.0","0","71","0","46","0","0","","0","0","0","0","55","0","4","0","257","0","86","0","-15.6","0,1224,+","0",",0,1231,+","0","T,0,1223,","89.7",",0,0426,","38.3","0,0627,+","","","0.0","0,1010","-2.2","0,1022","-4.4","0,1129","-8.3","0,1204","-8.9","0,1220","-1.7","0,0326","-2.8","0,0325","-4.4","0,0215","","","","","1548.1","","1548.1","0","876.3",",0","0","T,0","17.37","0","24.67","0","10.07","0","",""
"USC00414278","1991","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1079.5","","1079.5","0","72","0","59","0","0","","0","0","0","0","54","0","2","0","246","0","81","0","-10.6","0,0101,","0",",0,1231,+","0",",0,1231,+","125.0",",0,1220,","37.2","0,0719,+","","","-1.7","0,1029","-4.4","0,1102","-4.4","0,1102","-7.2","0,1104","","","-1.7","0,0331","-2.8","0,0227","-5.0","0,0226","-6.7","0,0220","-10.6","0,0101","1497.6","","1497.6","0","1054.7",",0","0",",0","17.23","0","24.34","0","10.13","0","",""
"USC00414278","1992","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","994.3","","994.3","0","73","0","43","0","0","","0","0","0","0","53","0","1","0","242","0","84","0","-10.0","0,0116,+","0",",0,1231,+","0",",0,1231,+","82.8",",0,0304,","36.7","0,0703,+","","","-4.4","0,1105","-4.4","0,1105","-4.4","0,1105","-7.2","0,1128","","","0.0","0,0323","-5.6","0,0226","-5.6","0,0226","-8.9","0,0117","-8.9","0,0117","1411.2","","1411.2","0","748.4",",0","0",",0","17.34","0","24.34","0","10.34","0","54295","0"
"USC00414278","1993","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1049.6","","1049.6","0","52","0","38","0","0","","0","0","0","0","66","0","3","0","225","0","95","0","-9.4","0,1126,","0",",0,1231,+","0",",0,1231,+","67.3",",0,0610,","38.9","0,0603,","","","-1.1","0,1022","-4.4","0,1030","-4.4","0,1030","-7.8","0,1031","-9.4","0,1126","-3.9","0,0314","-3.9","0,0314","-7.2","0,0313","-7.2","0,0313","","","1520.2","","1520.2","0","521.8",",0","0",",0","16.49","0","24.25","0","8.72","0","59096","0"
"USC00414278","1994","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","","","","","56","0","34","0","0","","0","0","","","","","1","0","247","0","100","0","","","0",",0,1231,+","0",",0,1231,+","63.8",",0,0527,","41.7","0,0629,","","","","","","","","","","","","","","","","","","","","","","","1578.7","","1578.7","0","692.5",",0","0",",0","","","25.07","0","","","",""
"USC00414278","1995","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","896.9","","896.9","0","77","0","47","0","0","","0","0","0","0","79","0","3","0","261","0","89","0","-12.8","0,1210,","0",",0,1231,+","0","T,0,0303,","50.8",",0,0611,","40.0","0,0729,","","","-3.3","0,1103","-3.3","0,1103","-4.4","0,1111","-11.1","0,1209","-11.1","0,1209","-0.6","0,0425","-2.2","0,0424","-7.8","0,0309","-7.8","0,0309","-8.9","0,0209","","","","","662.7",",0","0","T,0","16.37","0","24.72","0","8.03","0","55243","0"
"USC00414278","1996","31.84555","-99.56068","594.1","HORDS CREEK DAM, TX US","1041.4","","1041.4","0","54","0","46","0","0","","1","0","1","0","87","0","5","0","273","0","99","0","-18.3","0,0205,","0",",0,1231,+","38",",0,0204,","90.4",",0,0531,","38.9","0,0805,+","","","0.0","0,1022","-2.8","0,1109","-10.6","0,1124","-10.6","0,1124","-10.6","0,1124","-2.2","0,0407","-2.2","0,0407","-4.4","0,0328","-11.1","0,0310","-11.1","0,0310","1657.4","","1657.4","0","722.2",",0","38",",0","16.59","0","25.63","0","7.56","0","58572","0"
