"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USW00023271","1910","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","460.8","","460.8","0","46","0","22","0","","","","","0","0","5","0","0","0","200","0","46","0","-2.2","0,0105,","","","","","32.0",",0,0321,","39.4","0,0530,","0.0","0,1230","","","","","","","0.0","0,0118","-2.2","0,0105","","","","","1540.5","","1540.5","0","198.2",",0","","","15.50","0","21.96","0","9.03","0"
"USW00023271","1911","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","315.2","","315.2","0","53","0","38","0","","","","","0","0","8","0","0","0","177","0","25","0","-1.1","0,1226,+","","","","","46.7",",0,0113,","37.8","0,0726,","-0.6","0,1111","","","","","","","0.0","0,0226","","","","","","","1575.4","","1575.4","0","536.1",",0","","","14.65","0","20.70","0","8.60","0"
"USW00023271","1912","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","452.4","","452.4","0","54","0","34","0","","","","","0","0","8","0","0","0","163","0","36","0","-1.7","0,0102,","","","","","22.6",",0,0906,","39.4","0,0715,+","0.0","0,1222","","","","","","","-1.1","0,0106","","","","","","","1599.5","","1599.5","0","280.0",",0","","","15.16","0","21.18","0","9.15","0"
"USW00023271","1913","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","627.0","","627.0","0","54","0","35","0","","","","","0","0","10","0","0","0","197","0","48","0","-3.3","0,0106,","","","","","40.9",",0,1118,","42.8","0,0823,","-0.6","0,1204","","","","","","","-1.1","0,0111","-2.8","0,0110","","","","","1617.4","","1617.4","0","362.8",",0","","","15.78","0","21.98","0","9.58","0"
"USW00023271","1914","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","369.7","","369.7","0","59","0","37","0","","","","","0","0","4","0","0","0","201","0","31","0","-1.1","0,1208,","","","","","30.7",",0,0220,","38.9","0,0715,","-1.1","0,1208","","","","","","","","","","","","","","","1370.3","","1370.3","0","407.6",",0","","","15.48","0","21.38","0","9.58","0"
"USW00023271","1915","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","516.5","","516.5","0","68","0","42","0","","","","","0","0","2","0","0","0","181","0","46","0","-4.4","0,1231,","","","","","43.9",",0,1213,","40.6","0,0828,","-1.1","0,1230","-4.4","0,1231","-4.4","0,1231","","","","","","","","","","","1473.4","","1473.4","0","450.6",",0","","","15.79","0","21.70","0","9.88","0"
"USW00023271","1916","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","446.7","","446.7","0","69","0","33","0","","","","","0","0","13","0","0","0","204","0","51","0","-1.1","0,1213,+","","","","","66.0",",0,0103,","40.6","0,0722,","0.0","0,1113","","","","","","","0.0","0,0131","","","","","","","1395.1","","1395.1","0","464.8",",0","","","15.25","0","21.63","0","8.86","0"
"USW00023271","1917","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1818.4","","1818.4","0","","","","","","","","","",""
"USW00023271","1919","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","510.3","","510.3","0","57","0","28","0","","","","","0","0","12","0","0","0","191","0","54","0","-4.4","0,0101,","","","","","49.8",",0,0210,","41.7","0,0819,","-1.1","0,1128","-2.8","0,1213","","","","","-0.6","0,0114","-2.8","0,0104","-4.4","0,0101","","","","","","","322.1",",0","","","15.16","0","21.82","0","8.50","0"
"USW00023271","1920","38.5552","-121.4183","11.6","SACRAMENTO 5 ESE, CA US","528.1","","528.1","0","57","0","36","0","","","","","0","0","6","0","0","0","175","0","53","0","-1.7","0,0109,","","","","","22.6",",0,0321,","42.2","0,0815,+","-1.1","0,1221","","","","","","","-0.6","0,0113","","","","","","","1666.3","","1666.3","0","375.4",",0","","","15.12","0","21.77","0","8.47","0"
