"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF4","FZF4_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00012919","1958","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","1920.3","","1920.3","0","100","0","56","0","0","","0","0","0","0","0","0","0","0","297","0","105","0","1.7","0,1216,","0",",0,1231,+","0",",0,1231,+","108.5",",0,0219,","36.1","0,0803,","","","","","","","","","","","","","","","","","","","374.7","","374.7","0","1207.5",",0","","","0",",0","22.41","0","27.03","0","17.79","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1959","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","1990.0","","1990.0","0","78","0","41","0","0","","0","0","0","0","2","0","0","0","299","0","119","0","-0.6","0,0104,","0",",0,1231,+","0","T,0,0105,","46.2",",0,0408,","36.7","0,0725,","","","","","","","","","","","0.0","0,0105","","","","","","","477.6","","477.6","0","580.7",",0","","","0","T,0","22.47","0","27.17","0","17.78","0","","","","","","","","","68","X","","","","","","","","","21.6","X","",""
"USW00012919","1960","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2013.8","","2013.8","0","78","0","40","0","0","","0","0","0","0","1","0","0","0","308","0","109","0","-1.7","0,0225,","0",",0,1231,+","0","T,0,0212,","52.1",",0,1017,","37.2","0,0729,+","","","","","","","","","","","-1.7","0,0225","","","","","","","411.2","","411.2","0","668.7",",0","","","0","T,0","22.70","0","27.57","0","17.84","0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012919","1961","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2008.6","","2008.6","0","79","0","34","0","0","","0","0","0","0","0","0","0","0","319","0","98","0","1.1","0,0128,","0",",0,1231,+","0",",0,1231,+","140.2",",0,0914,","36.1","0,0831,+","","","","","","","","","","","","","","","","","","","414.5","","414.5","0","660.7",",0","","","0",",0","22.82","0","27.67","0","17.96","0","","","","","","","","","293","X","","","","","","","","","28.8","X","",""
"USW00012919","1962","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2165.8","","2165.8","0","67","0","31","0","0","","0","0","0","0","4","0","2","0","327","0","126","0","-7.2","0,0112,","0",",0,1231,+","0",",0,1231,+","71.9",",0,0501,","38.9","0,0814,","","","","","","","","","","","-7.2","0,0112","-7.2","0,0112","-7.2","0,0112","-7.2","0,0112","332.4","","332.4","0","406.6",",0","","","0",",0","23.33","0","28.31","0","18.35","0","","","","","","","","","45","X","","","","","","","","","25.7","X","",""
"USW00012919","1963","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2210.7","","2210.7","0","61","0","32","0","0","","0","0","0","0","9","0","0","0","312","0","117","0","-3.3","0,0124,","0","T,0,0211,","0","T,0,0212,+","71.6",",0,0618,","35.6","0,0918,+","0.0","0,1223","-2.8","0,1224","","","","","","","-1.1","0,0214","-3.3","0,0124","","","","","391.8","","391.8","0","476.1",",0","","","0","T,0","22.98","0","27.89","0","18.07","0","","","","","","","","","180","X","","","","","","","","","23.6","X","",""
"USW00012919","1964","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2131.0","","2131.0","0","51","0","26","0","0","","0","0","0","0","2","0","0","0","320","0","125","0","0.0","0,1218,+","0",",0,1231,+","0","T,0,1218,","54.4",",0,1208,","36.7","0,0426,","0.0","0,1218","","","","","","","","","0.0","0,0113","","","","","","","471.7","","471.7","0","399.7",",0","","","0","T,0","23.04","0","27.97","0","18.10","0","","","","","","","","","315","X","","","","","","","","","25.2","X","",""
"USW00012919","1965","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2015.0","","2015.0","0","70","0","40","0","0","","0","0","0","0","0","0","0","0","321","0","98","0","2.2","0,0117,","0",",0,1231,+","0",",0,1231,+","59.4",",0,0924,","36.1","0,0910,","","","","","","","","","","","","","","","","","","","384.6","","384.6","0","539.5",",0","63.8","X","0",",0","23.05","0","27.77","0","18.33","0","171888",",X","","","","","","","315","X","315","X","","","","","","","30.3","X","24.6","X"
"USW00012919","1966","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","1833.3","","1833.3","0","80","0","37","0","0","","0","0","0","0","2","0","0","0","302","0","91","0","-1.1","0,1212,","0",",0,1231,+","0","T,0,1223,+","143.0",",0,1015,","36.1","0,0817,","-1.1","0,1212","","","","","","","","","","","","","","","","","418.3","","418.3","0","627.5",",0","65.7","X","0","T,0","21.95","0","26.77","0","17.13","0","177144",",X","","","","","","","180","X","180","X","","","","","","","21.1","X","17.0","X"
"USW00012919","1967","25.9141","-97.423","7.3","BROWNSVILLE S PADRE ISLAND INTERNATIONAL AIRPORT, TX US","","","2089.4","","2089.4","0","68","0","41","0","0","","0","0","0","0","0","0","0","0","321","0","97","0","0.6","0,0209,+","0",",0,1231,+","0","T,0,0109,","307.1",",0,0920,","37.2","0,0531,","","","","","","","","","","","","","","","","","","","375.7","","375.7","0","906.4",",0","61.4","X","0","T,0","23.07","0","27.78","0","18.36","0","166992",",X","","","","","","","45","X","45","X","","","","","","","48.8","X","30.8","X"
