"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00049001","1998","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","108","0","57","0","","","0","0","0","0","11","0","","","","","","","-6.7","0,1223,","","","0",",0,1231,+","35.6",",0,0203,","","","","","-0.6","0,1210","-3.9","0,1221","-4.4","0,1222","-6.7","0,1223","","","","","","","","","","","     11.64","0,P,N","     24.05","0,P,N","520.9",",0","0",",0","","","","","10.72","0","41354","0"
"USC00049001","1999","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","53","0","25","0","0","","0","0","0","0","16","0","","","","","","","-2.2","0,0102,","0",",0,1231,+","0",",0,1231,+","19.3",",0,0118,","","","2253.3","0","0.0","0,1215","","","","","","","0.0","0,0130","-2.2","0,0102","","","","","","","","","","","244.0",",0","0",",0","","","","","10.08","0","",""
"USC00049001","2000","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","77","0","34","0","0","","0","0","0","0","7","0","","","","","","","-1.7","0,1229,","0",",0,1231,+","0",",0,1231,+","53.3",",0,1027,","","","","","0.0","0,1118","","","","","","","0.0","0,0106","","","","","","","","","","","","","390.4",",0","0",",0","","","","","10.96","0","",""
"USC00049001","2001","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","904.3","","904.3","0","65","0","39","0","0","","0","0","0","0","9","0","0","0","201","0","83","0","-3.3","0,0102,","0",",0,1231,+","0",",0,1231,+","24.1",",0,1228,","41.7","0,0703,","","","","","","","","","","","-0.6","0,0201","-3.3","0,0102","","","","","","","","","","","337.1",",0","0",",0","17.78","0","24.36","0","11.19","0","",""
"USC00049001","2002","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","739.7","","739.7","0","65","0","28","0","0","","0","0","0","0","8","0","0","0","190","0","72","0","-2.8","0,0131,","0",",0,1231,+","0",",0,1231,+","53.3",",0,1108,","42.8","0,0710,","","","","","","","","","","","0.0","0,0205","-2.8","0,0131","","","1161.2","","1161.2","0","      9.87","0,P,N","     24.38","0,P,N","318.6",",0","0",",0","17.13","0","23.88","0","10.38","0","",""
"USC00049001","2003","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","869.0","","869.0","0","58","0","29","0","0","","0","0","0","0","5","0","0","0","183","0","74","0","-0.6","0,1228,+","0",",0,1231,+","0",",0,1231,+","28.7",",0,1109,","41.1","0,0718,","","","0.0","0,1216","","","","","","","0.0","0,0209","","","","","1113.7","","1113.7","0","","","","","274.0",",0","0",",0","17.58","0","23.92","0","11.24","0","",""
"USC00049001","2004","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","67","0","33","0","0","","0","0","0","0","9","0","","","","","","","-3.3","0,1204,","0",",0,1231,+","0",",0,1231,+","24.1",",0,0101,","","","","","-0.6","0,1130","-3.3","0,1204","","","","","-1.1","0,0123","","","","","1046.8","","1046.8","0","","","","","330.2",",0","0",",0","","","","","11.13","0","",""
"USC00049001","2005","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","77","0","39","0","0","","0","0","0","0","1","0","","","","","","","-1.7","0,1215,","0",",0,1231,+","0",",0,1231,+","27.9",",0,1231,","","","","","-1.7","0,1215","","","","","","","","","","","","","","","","","     10.61","0,P,N","     23.78","0,P,N","375.5",",0","0",",0","","","","","11.25","0","",""
"USC00049001","2006","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","83","0","40","0","0","","0","0","0","0","8","0","","","","","","","-2.8","0,1219,","0",",0,1231,+","0",",0,1231,+","26.4",",0,0102,","","","","","0.0","0,1130","-2.8","0,1219","","","","","0.0","0,0219","","","","","","","","","","","","","316.1",",0","0",",0","","","","","10.59","0","",""
"USC00049001","2007","37.79589","-121.58319","18.6","TRACY PUMPING PLANT, CA US","","","","","37","0","23","0","0","","0","0","0","0","15","0","","","","","","","-6.1","0,0114,","0",",0,1231,+","0",",0,1231,+","20.3",",0,0210,","","","","","0.0","0,1213","","","","","","","-1.1","0,0131","-2.2","0,0119","-5.0","0,0116","","","","","","","","","198.6",",0","0",",0","","","","","10.56","0","",""
