"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES"
"USW00012883","1981","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1872.5","","1872.5","0","96","0","63","0","0","","0","0","0","0","8","0","0","0","327","0","144","0","-5.6","0,0113,","0",",0,1231,+","0",",0,1231,+","88.9",",0,0208,","37.8","0,0617,","-1.1","0,1219","","","","","","","0.0","0,0204","-5.0","0,0114","-5.0","0,0114","","","435.7","","435.7","0","1005.8",",0","","","0",",0","22.27","0","28.90","0","15.63","0","",""
"USW00012883","1982","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2057.2","","2057.2","0","114","0","80","0","0","","0","0","0","0","4","0","0","0","349","0","122","0","-4.4","0,0112,","0",",0,1231,+","0",",0,1231,+","111.3",",0,0618,","36.1","0,0904,+","","","","","","","","","-1.1","0,0116","-2.2","0,0115","-4.4","0,0112","","","273.7","","273.7","0","1580.4",",0","","","0",",0","23.45","0","29.48","0","17.43","0","",""
"USW00012883","1983","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1785.4","","1785.4","0","130","0","82","0","0","","0","0","0","0","3","0","0","0","316","0","116","0","-5.6","0,1226,","0",",0,1231,+","0",",0,1231,+","90.7",",0,0608,","37.2","0,0718,","-5.0","0,1225","-5.0","0,1225","-5.0","0,1225","","","","","","","","","","","303.5","","303.5","0","1604.0",",0","","","0",",0","22.23","0","28.08","0","16.37","0","",""
"USW00012883","1984","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1849.9","","1849.9","0","113","0","71","0","","","0","0","0","0","0","0","0","0","341","0","131","0","0.6","0,1209,+","","","0",",0,1231,+","78.5",",0,0614,","36.7","0,0805,","","","","","","","","","","","","","","","","","317.8","","317.8","0","1004.9",",0","","","0",",0","22.63","0","29.13","0","16.13","0","",""
"USW00012883","1985","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2148.1","","2148.1","0","111","0","67","0","0","","0","0","0","0","6","0","0","0","335","0","150","0","-6.7","0,0122,+","0",",0,1231,+","0",",0,1231,+","55.6",",0,0801,","40.6","0,0604,","-3.3","0,1226","-3.3","0,1226","","","","","-1.7","0,0127","-6.7","0,0122","-6.7","0,0122","-6.7","0,0122","290.8","","290.8","0","949.3",",0","","","0",",0","23.24","0","29.71","0","16.76","0","",""
"USW00012883","1986","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2143.2","","2143.2","0","117","0","80","0","0","","0","0","0","0","3","0","0","0","350","0","159","0","-5.0","0,0128,","0",",0,1231,+","0",",0,1231,+","76.2",",0,0909,","37.2","0,0824,","","","","","","","","","0.0","0,0302","-5.0","0,0128","-5.0","0,0128","","","292.8","","292.8","0","1300.1",",0","","","0",",0","23.67","0","30.02","0","17.33","0","",""
"USW00012883","1987","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1995.8","","1995.8","0","110","0","80","0","0","","0","0","0","0","1","0","0","0","340","0","145","0","-1.1","0,0124,","0",",0,1231,+","0",",0,1231,+","77.2",",0,0512,","37.8","0,0811,+","","","","","","","","","-1.1","0,0124","","","","","","","201.6","","201.6","0","1433.6",",0","","","0",",0","23.08","0","29.40","0","16.75","0","",""
"USW00012883","1988","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1958.1","","1958.1","0","103","0","71","0","","","0","0","0","0","2","0","0","0","336","0","141","0","-1.1","0,1219,","","","0",",0,1231,+","122.7",",0,1123,","37.2","0,0823,+","-1.1","0,1219","","","","","","","0.0","0,0128","","","","","","","310.2","","310.2","0","1538.6",",0","","","0",",0","22.89","0","29.26","0","16.52","0","",""
"USW00012883","1989","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2223.8","","2223.8","0","109","0","78","0","0","","0","0","0","0","6","0","0","0","341","0","161","0","-6.1","0,1224,","0",",0,1231,+","0",",0,1231,+","91.4",",0,0923,","39.4","0,0528,","0.0","0,1223","-6.1","0,1224","-6.1","0,1224","","","0.0","0,0226","-2.8","0,0225","","","","","158.6","","158.6","0","1330.2",",0","","","0",",0","23.67","0","30.16","0","17.17","0","",""
"USW00012883","1990","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2255.6","","2255.6","0","103","0","57","0","0","","0","0","0","0","0","0","0","0","360","0","152","0","3.9","0,0114,+","0",",0,1231,+","0",",0,1231,+","73.4",",0,0527,","37.2","0,0803,","","","","","","","","","","","","","","","","","228.7","","228.7","0","1002.5",",0","","","0",",0","24.21","0","30.35","0","18.08","0","",""
"USW00012883","1991","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2172.8","","2172.8","0","137","0","83","0","0","","0","0","0","0","1","0","0","0","342","0","145","0","-0.6","0,0216,","0",",0,1231,+","0",",0,1231,+","107.2",",0,0713,","36.7","0,0812,+","","","","","","","","","-0.6","0,0216","","","","","","","150.0","","150.0","0","1479.6",",0","","","0",",0","23.75","0","29.44","0","18.05","0","",""
"USW00012883","1992","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2004.3","","2004.3","0","131","0","72","0","0","","0","0","0","0","1","0","0","0","340","0","123","0","0.0","0,0117,","0",",0,1231,+","0",",0,1231,+","80.8",",0,0614,","37.2","0,0728,+","","","","","","","","","0.0","0,0117","","","","","","","248.3","","248.3","0","1283.6",",0","","","0",",0","23.17","0","29.12","0","17.23","0","",""
"USW00012883","1993","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","1969.7","","1969.7","0","126","0","83","0","0","","0","0","0","0","1","0","0","0","346","0","131","0","0.0","0,1227,","0",",0,1231,+","0",",0,1231,+","54.9",",0,0906,","37.2","0,0730,+","0.0","0,1227","","","","","","","","","","","","","","","200.9","","200.9","0","1331.3",",0","","","0",",0","23.04","0","29.12","0","16.96","0","",""
"USW00012883","1994","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","2228.3","","2228.3","0","154","0","91","0","0","","0","0","0","0","0","0","0","0","346","0","129","0","1.7","0,0203,","0",",0,1231,+","0",",0,1231,+","97.5",",0,1116,","36.1","0,0719,+","","","","","","","","","","","","","","","","","228.1","","228.1","0","1705.9",",0","","","0",",0","24.01","0","29.68","0","18.33","0","",""
"USW00012883","1995","28.0","-82.05","45.1","LAKELAND LINDER REGIONAL AIRPORT, FL US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198.0","","198.0","0","","","","","","","","","","","","","",""
