"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","FZF0","FZF0_ATTRIBUTES","FZF1","FZF1_ATTRIBUTES","FZF2","FZF2_ATTRIBUTES","FZF3","FZF3_ATTRIBUTES","FZF5","FZF5_ATTRIBUTES","FZF6","FZF6_ATTRIBUTES","FZF7","FZF7_ATTRIBUTES","FZF8","FZF8_ATTRIBUTES","FZF9","FZF9_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00025467","1932","33.4114","-111.8183","376.4","MESA, AZ US","1436.4","","1436.4","0","41","0","18","0","0","","0","0","0","0","49","0","0","0","279","0","143","0","-7.2","0,0128,+","0",",0,1231,+","0",",0,1231,+","30.0",",0,0209,","42.2","0,0629,+","","","-0.6","0,1201","-2.2","0,1224","-6.1","0,1229","","","0.0","0,0305","-2.2","0,0304","-4.4","0,0130","-7.2","0,0128","","","","","","","","","","","188.7",",0","0",",0","18.92","0","27.89","0","9.96","0","",""
"USC00025467","1933","33.4114","-111.8183","376.4","MESA, AZ US","1532.3","","1532.3","0","34","0","16","0","0","","0","0","0","0","50","0","0","0","283","0","145","0","-7.2","0,0209,","0",",0,1231,+","0","T,0,0120,","24.4",",0,0120,","44.4","0,0815,","","","-1.7","0,1104","-3.9","0,1216","-6.1","0,1217","","","0.0","0,0226","-3.3","0,0212","-5.0","0,0211","-6.7","0,0210","","","1279.8","","1279.8","0","","","","","162.9",",0","0","T,0","19.32","0","28.37","0","10.27","0","",""
"USC00025467","1934","33.4114","-111.8183","376.4","MESA, AZ US","","","","","31","0","15","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","21.8",",0,1212,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156.4",",0","0",",0","","","","","","","",""
"USC00025467","1935","33.4114","-111.8183","376.4","MESA, AZ US","","","","","46","0","27","0","0","","0","0","","","","","","","","","","","","","0",",0,1231,+","0",",0,1231,+","20.1",",0,0809,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239.7",",0","0",",0","","","","","","","",""
"USC00025467","1937","33.4114","-111.8183","376.4","MESA, AZ US","","","","","22","0","13","0","0","","0","0","0","0","31","0","","","","","","","-7.2","0,0123,","0",",0,1231,+","0",",0,1231,+","36.1",",0,0317,","","","","","0.0","0,1126","","","","","","","-3.3","0,0209","-3.3","0,0209","-5.0","0,0127","-6.7","0,0124","","","1067.7","","1067.7","0","","","","","134.9",",0","0",",0","","","","","11.03","0","",""
"USC00025467","1939","33.4114","-111.8183","376.4","MESA, AZ US","1619.0","","1619.0","0","27","0","20","0","0","","0","0","0","0","41","0","0","0","297","0","169","0","-5.6","0,1228,+","0",",0,1231,+","0",",0,1231,+","14.0",",0,0912,","44.4","0,0713,+","","","0.0","0,1202","-3.9","0,1226","-5.6","0,1227","","","-1.7","0,0311","-2.2","0,0305","","","","","","","1112.8","","1112.8","0","","","","","134.9",",0","0",",0","20.06","0","29.79","0","10.33","0","",""
"USC00025467","1940","33.4114","-111.8183","376.4","MESA, AZ US","1755.9","","1755.9","0","35","0","20","0","0","","0","0","0","0","24","0","0","0","294","0","175","0","-6.7","0,0114,","0",",0,1231,+","0",",0,1231,+","29.0",",0,1231,","46.1","0,0619,","","","0.0","0,1113","","","","","","","0.0","0,0312","-2.2","0,0218","-6.7","0,0114","-6.7","0,0114","","","792.7","","792.7","0","","","","","200.0",",0","0",",0","20.82","0","30.28","0","11.37","0","",""
"USC00025467","1941","33.4114","-111.8183","376.4","MESA, AZ US","1410.3","","1410.3","0","54","0","34","0","0","","0","0","0","0","9","0","0","0","268","0","140","0","-2.8","0,1225,+","0",",0,1231,+","0",",0,1231,+","42.2",",0,0928,","42.2","0,0711,+","","","-0.6","0,1119","-2.2","0,1222","","","","","","","","","","","","","","","855.5","","855.5","0","","","","","422.8",",0","0",",0","19.74","0","28.09","0","11.39","0","",""
"USC00025467","1942","33.4114","-111.8183","376.4","MESA, AZ US","1563.5","","1563.5","0","24","0","17","0","0","","0","0","0","0","31","0","0","0","302","0","153","0","-3.9","0,0130,","0",",0,1231,+","0",",0,1231,+","19.1",",0,0805,","44.4","0,0707,+","","","0.0","0,1207","","","","","","","-0.6","0,0326","-3.3","0,0215","","","","","","","1030.1","","1030.1","0","","","","","148.5",",0","0",",0","19.91","0","29.33","0","10.49","0","",""
"USC00025467","1943","33.4114","-111.8183","376.4","MESA, AZ US","1743.7","","1743.7","0","30","0","17","0","0","","0","0","0","0","19","0","0","0","301","0","175","0","-3.3","0,0211,+","0",",0,1231,+","0",",0,1231,+","59.4",",0,0803,","45.6","0,0725,","","","-1.7","0,1128","-2.8","0,1202","","","","","-1.1","0,0212","-3.3","0,0211","","","","","","","791.8","","791.8","0","","","","","221.3",",0","0",",0","20.69","0","30.12","0","11.26","0","",""
