usaf,wban,station,ctry,st,call,lat,lon,elev,begin,end
305520,99999,ZADORNY WEST,RS,NA,NA,54.7,113.5,1375,1959-01-01,1959-12-08
305540,99999,BAGDARIN,RS,NA,NA,54.483,113.583,995,1948-01-01,2018-06-16
305550,99999,TROICKIJ PRIISK,RS,NA,NA,54.617,113.133,1314,1953-02-16,2003-06-18
305650,99999,UST-KARENGA,RS,NA,NA,54.45,116.517,686,1955-03-15,2002-09-10
305670,99999,BUGARIHTA,RS,NA,NA,54.05,115.017,738,1955-03-15,2001-05-28
305760,99999,TUPIK,RS,NA,NA,54.433,119.9,644,1948-01-01,2001-05-28
305790,99999,TUNGIR MINE,RS,NA,NA,54.117,119.35,NA,1953-02-16,1963-04-01
305850,99999,KROPOCHEVA SOUTHEAST,RS,NA,NA,54.333,120.5,757,1959-01-01,1963-02-04
305970,99999,URUSA,RS,NA,NA,54.033,122.9,454,1953-02-16,1991-07-25
305980,99999,TAKHTAMYGDA NE,RS,NA,NA,54.15,123.667,425,1953-02-16,1963-11-10
305990,99999,TIGAN-URKAN,RS,NA,NA,54.083,124.767,379,1959-01-30,1988-09-15
306030,99999,ZIMA,RS,NA,NA,53.933,102.05,458,1948-01-01,2018-06-16
306040,99999,...,RS,NA,NA,53.5,100,NA,1960-05-28,1960-12-28
306050,99999,SARAM,RS,NA,NA,53.333,101.183,600,1953-03-10,2001-05-28
306060,99999,ZALARI,RS,NA,NA,53.6,102.533,450,1969-01-01,2007-09-21
306120,99999,BALAGANSK,RS,NA,NA,54,103.067,427,1953-02-16,2018-06-16
306170,99999,CEREMHOVO,RS,NA,NA,53.167,103.083,598,1969-01-01,2008-04-29
306180,99999,BOHAN,RS,NA,NA,53.133,103.767,446,1953-02-16,2001-11-12
306200,99999,SARMA,RS,NA,NA,53.1,106.817,464,1955-07-01,1991-03-26
306220,99999,KACUG,RS,NA,NA,53.967,105.9,533,1948-01-01,2018-06-16
306270,99999,BAJANDAJ,RS,NA,NA,53.1,105.533,762,1948-01-01,2018-06-16
306320,99999,BOLSOJ USKAN ISLAND,RS,NA,NA,53.85,108.6,460,1955-07-01,2002-06-15
306350,99999,UST'-BARGUZIN,RS,NA,NA,53.417,109.017,461,1953-02-16,2018-06-16
306360,99999,BARGUZIN,RS,NA,NA,53.617,109.633,489,1932-01-06,2018-06-16
306370,99999,UZUR,RS,NA,NA,53.317,107.733,461.6,1955-07-01,2018-06-16
306380,99999,MAKSIMIHA,RS,NA,NA,53.267,108.75,475,1955-07-01,2000-01-08
306490,99999,UST-ZAZA,RS,NA,NA,53.183,111.717,973,1955-03-06,2001-05-28
306500,99999,ROMANOVKA,RS,NA,NA,53.2,112.783,923,1948-01-01,2018-06-16
306510,99999,BOLSOJ AMALAT,RS,NA,NA,53.917,113.417,935,1955-03-15,2001-06-25
306550,99999,INGUR,RS,NA,NA,53.583,113.767,810,1959-01-01,2001-05-28
306570,99999,POLIVTSEVO,RS,NA,NA,53.283,112.783,1203,1955-03-12,1989-09-29
306580,99999,ALEKSEYEVKA,RS,NA,NA,53.133,113.617,914,1974-06-20,2001-10-25
306640,99999,TUNGOKOCEN,RS,NA,NA,53.533,115.617,811,1948-01-01,2018-06-16
306670,99999,KIKER,RS,NA,NA,53.167,115.833,596,1955-03-15,2002-03-19
306690,99999,ZILOVO,RS,NA,NA,53.067,117.483,708,1948-01-01,2017-10-16
306730,99999,MOGOCHA,RS,NA,NA,53.75,119.733,625,1948-01-01,2018-06-16
306750,99999,KSEN'EVSKAJA,RS,NA,NA,53.55,118.717,582,1948-01-08,2001-12-09
306760,99999,SOBOLINA,RS,NA,NA,53.383,119.683,456,1953-02-18,1959-04-08
306790,99999,GORBICA,RS,NA,NA,53.1,119.217,384,1953-02-16,2014-11-12
306820,99999,AMAZAR,RS,NA,NA,53.867,120.867,472,1953-02-16,2002-05-16
306830,99999,EROFEJ PAVLOVIC,RS,NA,NA,53.967,121.933,522,1931-12-31,2018-06-16
306860,99999,IGNASINO,RS,NA,NA,53.467,122.4,295,1953-02-16,2018-06-16
306880,99999,POKROVKA,RS,NA,NA,53.35,121.55,314,1953-02-16,2001-05-28
306920,99999,SKOVORODINO,RS,NA,NA,54,123.967,398,1948-01-01,2014-10-29
306930,99999,TALDAN,RS,NA,NA,53.7,124.833,462.1,1953-02-16,1959-07-31
306950,99999,DZALINDA,RS,NA,NA,53.467,123.9,266,1953-02-16,2018-06-16
307000,99999,KHORYO-IN-BURYAT,RS,NA,NA,52.167,100.35,1590,1957-07-01,1989-10-23
307020,99999,...,RS,NA,NA,52.9,101.2,NA,1960-06-12,1960-12-30
307030,99999,INGA,RS,NA,NA,52.967,101.983,543,1948-01-01,2018-06-16
307080,99999,ILCIR,RS,NA,NA,52.05,101.067,2083,1955-07-01,1996-03-26
307100,99999,IRKUTSK,RS,NA,UIII,52.268,104.389,510.5,1932-01-01,2018-06-16
307110,99999,MIKHAYLOVKA,RS,NA,NA,52.95,103.283,535,1953-02-16,1963-12-30
307120,99999,USOL' E-SIBIRSKOE,RS,NA,NA,52.783,103.683,437.4,1974-04-29,2013-12-25
307130,99999,UST'ORDYNSKIJ,RS,NA,UIIO,52.817,104.767,526,1948-01-01,2001-09-26
307140,99999,DABADY,RS,NA,NA,52.1,102.7,755.9,1953-03-15,2018-06-16
307150,99999,ANGARSK,RS,NA,NA,52.483,103.85,437,1996-09-01,2005-04-16
307180,99999,SMOLENSHCHINA,RS,NA,NA,52.25,104.2,437,1973-01-08,1989-10-30
307190,99999,IRKUTSK OBSERVATORY,RS,NA,NA,52.267,104.317,468,1957-07-01,1974-04-16
307250,99999,KRESTOVAYA SE,RS,NA,NA,52.65,106.417,568,1955-07-01,1959-01-31
307260,99999,SUHAJA,RS,NA,NA,52.567,107.133,461,1959-01-30,2006-04-26
307270,99999,BOLSOJE-GOLOUSTNOJ,RS,NA,NA,52.033,105.4,461,1957-07-01,2002-06-06
307290,99999,KABANSK,RS,NA,NA,52.05,106.65,467,1948-01-01,2002-11-07
307300,99999,CHEREMUKHOVO,RS,NA,NA,52.767,108.133,462,1953-02-16,1960-07-31
307310,99999,GORJACINSK,RS,NA,NA,52.983,108.283,487,1948-01-01,2018-06-16
307330,99999,TAKARKHAY NW,RS,NA,NA,52.75,109,1043,1959-10-06,1960-08-14
307380,99999,VERKHNIYS TALTSY NE,RS,NA,NA,52.05,108.933,592,1955-03-15,1962-01-05
307390,99999,HORINSK,RS,NA,UIUH,52.167,109.783,666.1,1948-01-01,2018-06-14
307410,99999,ZAMAKTA,RS,NA,NA,52.767,109.967,1286,1948-01-01,2018-06-16
307450,99999,SOSNOVO-OZERSKOE,RS,NA,NA,52.533,111.55,952,1948-01-01,2018-06-16
307500,99999,CHITA /NORTHWEST FLO,RS,NA,NA,52.067,113.433,659.9,1960-01-27,1960-12-21
307510,99999,TELEMBA,RS,NA,NA,52.733,113.267,929,1953-02-16,2002-04-18
307570,99999,BEKLEMISEVO,RS,NA,NA,52.117,112.667,968,1959-11-27,2002-04-23
307580,99999,KADALA,RS,NA,UIAA,52.026,113.306,692.5,1932-01-01,2018-06-16
307640,99999,USUGLI,RS,NA,NA,52.65,115.167,646,1948-01-01,2018-06-16
307650,99999,ZJUL'ZJA,RS,NA,NA,52.55,116.2,533,1953-02-16,2001-12-23
307660,99999,CHERNYSHEVSK,RS,NA,NA,52.533,117,539,1953-02-16,2002-05-26
307670,99999,EDAKUY-IN-CHITA,RS,NA,NA,52.3,115.033,779,1955-03-15,1981-04-26
307680,99999,NERCINSK,RS,NA,NA,52,116.533,482,1953-02-16,2002-04-22
307720,99999,UST'-KARA,RS,NA,NA,52.7,118.8,407,1953-02-16,2003-06-02
307770,99999,SRETENSK,RS,NA,NA,52.233,117.7,525,1932-01-01,2018-06-16
307810,99999,URJUPINO,RS,NA,NA,52.75,120.033,370,1948-01-08,2018-06-16
307910,99999,IRKUTSK,RS,NA,NA,52.267,104.35,498,2004-07-06,2009-02-25
308020,99999,MONDY,RS,NA,NA,51.683,100.983,1304,1949-01-01,2018-06-16
308030,99999,BAGO-GORHON,RS,NA,NA,51.7,102.45,889,1974-05-17,2003-11-19
308060,99999,KYREN,RS,NA,NA,51.683,102.167,758,1973-01-01,2002-02-07
308110,99999,TUNKA,RS,NA,NA,51.733,102.533,721,1953-02-16,2006-04-26
308120,99999,SLJUDJANKA,RS,NA,NA,51.65,103.667,471,1948-01-01,2001-12-02
308130,99999,ISTOK ANGRY,RS,NA,NA,51.9,104.817,470,1953-02-16,2002-04-08
308140,99999,KULTUK,RS,NA,NA,51.733,103.7,472,1954-04-02,2002-11-24
308150,99999,HAMAR-DABAN,RS,NA,NA,51.533,103.6,1442,1953-02-16,2018-06-16
308180,99999,UNKNOWN,RS,NA,NA,51.167,103.667,481,1974-04-19,2001-05-28
308220,99999,BABUSKIN,RS,NA,NA,51.717,105.85,467,1953-02-16,2018-06-16
308230,99999,MUKHINO,RS,NA,UIUU,51.808,107.438,515.1,1948-01-01,2018-06-16
308240,99999,TANHOJ,RS,NA,NA,51.567,105.117,472,1948-01-01,2006-04-26
308290,99999,NOVOSELENGINSK,RS,NA,NA,51.1,106.65,556,1948-01-01,2018-06-16
308330,99999,...,RS,NA,NA,51.817,107.517,NA,1959-01-01,1959-12-17
308370,99999,MUHORSIBIR,RS,NA,NA,51.017,107.833,733,1955-03-15,2001-05-28
308380,99999,PETROVSKIJ ZAVOD,RS,NA,NA,51.317,108.867,806,1948-01-01,2018-06-16
308410,99999,INNOKENTYEVKA SOUTH,RS,NA,NA,51.9,110.15,684,1953-11-12,1955-12-31
308430,99999,MOGZON,RS,NA,NA,51.733,112,907,1948-01-02,2002-01-27
308440,99999,HILOK,RS,NA,NA,51.35,110.467,802,1948-01-01,2018-06-16
308450,99999,HARAGUN,RS,NA,NA,51.55,111.167,858,1955-01-13,2000-02-10
308460,99999,ULETY,RS,NA,NA,51.35,112.467,743,1948-01-01,2018-06-16
308490,99999,NIKOLAJEVSKOE,RS,NA,NA,51.05,111.767,817,1957-07-01,2002-05-07
308510,99999,TURGUTUJ (MTN STN),RS,NA,NA,51.85,112.633,1030,1953-02-16,1960-08-08
308530,99999,KARYMSKAJA,RS,NA,NA,51.633,114.317,616,1953-02-16,2007-03-01
308560,99999,SEDLOVAJA,RS,NA,NA,51.483,114.533,877,1948-01-01,1996-08-01
308580,99999,KUROT-DARASUA,RS,NA,NA,51.2,113.717,805,1955-03-15,2002-06-18
308590,99999,AGINSKOE,RS,NA,NA,51.1,114.517,681,1953-02-16,2018-06-16
308600,99999,NERCHINSK,RS,NA,NA,51.85,116.017,NA,1957-07-01,1961-11-25
308620,99999,SHILKA,RS,NA,NA,51.867,116.033,597,1948-01-01,2018-06-16
308630,99999,KAZAKOVSKIY-PROMYSEL,RS,NA,NA,51.65,117.567,NA,1955-03-15,1960-05-13
308660,99999,BALEJ,RS,NA,NA,51.583,116.633,649,1969-01-01,2001-07-29
308740,99999,SELOPUGINO,RS,NA,NA,51.65,117.567,715,1953-02-16,2002-02-07
308750,99999,TAJNA,RS,NA,NA,51.583,118.467,698,1953-02-16,2005-01-04
308790,99999,NERCHINSKIJ ZAVOD,RS,NA,NA,51.317,119.617,619,1934-01-02,2018-06-16
309110,99999,SANAGA,RS,NA,NA,50.733,102.833,1170,1955-03-12,2002-10-02
309150,99999,CAKIR,RS,NA,NA,50.417,103.617,989,1955-03-15,2002-11-21
309160,99999,TOREJ,RS,NA,NA,50.517,104.833,733,1955-03-15,1995-09-09
309240,99999,PETROPAVLOVKA,RS,NA,NA,50.633,105.317,684,1960-05-20,2001-05-28
309250,99999,KJAHTA,RS,NA,NA,50.367,106.45,797,1948-01-01,2018-06-16
309340,99999,BICURA,RS,NA,NA,50.6,107.583,638,1953-02-16,2001-08-04
309350,99999,KRASNYJ CHIKOJ,RS,NA,NA,50.367,108.75,771,1955-03-15,2018-06-16
309380,99999,MENZA,RS,NA,NA,49.433,108.9,940,1955-03-15,2001-05-28
309400,99999,ESUTAY,RS,NA,NA,50.183,110.417,1100,1959-08-25,1962-08-31
309410,99999,ENGOROK,RS,NA,NA,50.967,110.35,920,1955-03-15,1960-12-13
309420,99999,NOVOSALIYA SOUTHEAST,RS,NA,NA,50.95,111.45,940,1955-03-15,1957-03-28
309440,99999,CEREMHOVO,RS,NA,NA,50.567,110.2,885,1955-03-15,2002-03-02
309470,99999,SUMILOVKA,RS,NA,NA,50.067,110.15,1154,1955-01-07,2002-06-16
309480,99999,GRJAZI,RS,NA,NA,50.017,111.183,1234,1955-03-15,2001-11-12
309490,99999,KYRA,RS,NA,NA,49.567,111.967,908,1948-01-01,2018-06-16
309530,99999,AGINSKLY,RS,NA,NA,51.083,114.467,NA,1959-01-01,1971-01-01
309540,99999,DULDURGA,RS,NA,NA,50.633,113.583,811,1955-03-13,2002-09-27
309560,99999,KUBUKHAY,RS,NA,NA,50.383,114.783,NA,1955-03-06,1957-06-28
309570,99999,AKSA,RS,NA,NA,50.267,113.267,732,1948-01-01,2018-06-16
309580,99999,UBUR-TOKHTOR,RS,NA,NA,50.1,113.633,NA,1961-10-07,1961-10-07
309610,99999,OLOVJANNAJA,RS,NA,NA,50.95,115.583,640,1948-01-02,2018-06-16
309640,99999,KUBUHAJ,RS,NA,NA,50.5,114.817,679,1973-01-01,2002-02-17
309650,99999,BORZYA,RS,NA,NA,50.4,116.517,676,1936-12-31,2018-06-16
309670,99999,SOLOV'EVSK,RS,NA,NA,49.9,115.75,623,1953-02-16,2018-06-16
309680,99999,HARANOR,RS,NA,NA,50.1,116.667,705,1985-03-06,2002-06-12
309690,99999,MATSIYEVSKAYA,RS,NA,NA,49.733,117.267,736,1953-02-16,2002-03-10
309710,99999,ALEKSANDROVSKIJ ZAVOD,RS,NA,NA,50.917,117.933,807,1948-01-01,2018-06-16
309720,99999,DONO,RS,NA,NA,50.883,118.583,694,1953-02-16,2001-05-28
309750,99999,PRIARGUNSK,RS,NA,NA,50.333,119.067,521.1,1948-01-05,2018-06-16
309760,99999,BIRKA-IN-CHITA,RS,NA,NA,50.65,118.55,587,1957-07-01,1989-07-14
309780,99999,KAJLASTUJ,RS,NA,NA,49.833,118.383,550,1948-01-01,2018-06-16
310040,99999,ALDAN,RS,NA,NA,58.617,125.367,679,1934-10-13,2018-06-16
310050,99999,TOMMOT,RS,NA,NA,58.967,126.267,283.5,1959-01-01,2018-06-16
310070,99999,USMUN,RS,NA,NA,58.317,125.35,951,1959-01-01,2004-10-03
310110,99999,BUJAGA,RS,NA,NA,59.667,127.05,278.4,1957-07-02,2018-06-16
310160,99999,UGINO,RS,NA,NA,58.633,128.5,230.6,1959-01-01,2018-06-16
310260,99999,UCHUR,RS,NA,NA,58.733,130.617,197.4,1959-01-01,2018-06-16
310410,99999,UST'-MIL',RS,NA,NA,59.633,133.033,179.4,1959-01-01,2018-06-16
310540,99999,UST'-JUDOMA,RS,NA,NA,59.183,135.15,212,1959-01-01,2018-06-16
310620,99999,YUGORENOK,RS,NA,NA,59.767,137.667,383.7,1959-01-02,2018-06-16
310670,99999,KURUN-URJAKAH,RS,NA,NA,58.65,137.217,457,1959-01-02,2008-02-27
310830,99999,HEJDZHAN,RS,NA,NA,59.967,144.783,121,1959-01-01,2015-07-01
310860,99999,INJA,RS,NA,NA,59.5,144.8,6,1959-01-01,1978-04-25
310870,99999,UL' YA,RS,NA,NA,58.817,141.85,5,1959-01-01,2018-06-16
310880,99999,OHOTSK,RS,NA,NA,59.367,143.2,6,1936-01-03,2018-06-16
310920,99999,TALON,RS,NA,NA,59.8,148.833,19,1959-01-01,1994-11-27
310930,99999,ARMAN,RS,NA,NA,59.717,150.2,8,1959-01-01,1989-04-01
310960,99999,SPAFAR' EVA (OSTROV),RS,NA,NA,59.15,149.033,52,1963-05-23,2018-06-16
310970,99999,USKI,RS,NA,NA,59.183,146.333,17,1959-01-01,1993-11-18
311020,99999,KANKU,RS,NA,NA,57.65,125.967,1204,1969-01-01,2018-06-16
311120,99999,SVETLYY WEST,RS,NA,NA,57.8,127.883,777,1959-01-01,1963-12-31
311130,99999,...,RS,NA,NA,57.5,128.917,NA,1962-08-08,1963-12-23
311230,99999,CJUL'BJU,RS,NA,NA,57.767,130.9,255,1957-07-01,2018-06-16
311250,99999,...,RS,NA,NA,56.733,129.917,NA,1962-08-21,1962-12-09
311320,99999,...,RS,NA,NA,57.633,132.25,NA,1962-08-28,1962-08-28
311370,99999,TOKO,RS,NA,NA,56.283,131.133,850,1959-01-01,2018-06-16
311520,99999,NEL' KAN,RS,NA,NA,57.65,136.15,318,1948-01-15,2018-06-16
311580,99999,BATOMGA,RS,NA,NA,56.65,136.35,496,1959-01-01,2003-10-18
311630,99999,ENKAN,RS,NA,NA,57.767,140.183,10,1959-01-01,2015-11-17
311680,99999,AYAN,RS,NA,NA,56.45,138.15,8,1947-12-31,2018-06-16
311730,99999,CAPE UKOY,RS,NA,NA,55.65,136.75,29,1959-01-01,2002-05-28
311740,99999,BOL'SHOJ SHANTAR,RS,NA,NA,54.833,137.533,21,1959-01-01,2018-06-16
311830,99999,OSTROV BELICHIY,RS,NA,NA,54.45,137.867,NA,1962-06-06,1962-06-06
311870,99999,AMURSKAYA NORTH,RS,NA,NA,55.2,126.383,630,1959-09-24,1963-03-06
311990,99999,UNAHA,RS,NA,NA,55.033,126.8,448,1953-02-16,2002-08-16
312350,99999,JANA,RS,NA,NA,55.483,134.333,318,1959-01-01,2008-09-30
312530,99999,BOMNAK,RS,NA,NA,54.717,128.867,364,1953-02-16,2018-06-16
312570,99999,DAMBUKI,RS,NA,NA,54.333,127.633,272,1953-02-16,2003-10-18
312600,99999,DATA BUOY 31260,BR,NA,NA,-28.5,-47.533,3,2013-05-02,2017-01-04
312610,99999,DATA BUOY 31261,BR,NA,NA,-31.533,-49.867,3,2014-03-05,2014-12-11
312630,99999,LOKSAK,RS,NA,NA,54.733,130.45,464,1953-02-16,2018-06-16
312850,99999,UDSKOE,RS,NA,NA,54.5,134.417,62,1959-01-18,2018-06-16
312860,99999,CUMIKAN,RS,NA,NA,54.717,135.317,5,1936-01-04,2009-09-17
312880,99999,TOROM,RS,NA,NA,54.117,135.7,182,1959-01-01,1996-01-09
312950,99999,MAGDAGACI,RS,NA,NA,53.467,125.817,370,1948-01-06,2018-06-16
312990,99999,TYGDA,RS,NA,NA,53.1,126.35,314,1953-02-16,1958-12-14
313000,99999,ZEJA,RS,NA,NA,53.7,127.3,229,1948-01-01,2018-06-16
313060,99999,DEP-DOLBIR,RS,NA,NA,53.533,128.75,318,1953-12-01,1981-11-23
313110,99999,OGORON,RS,NA,NA,53.967,129.067,405,1953-12-02,2002-08-31
313180,99999,DUGDA,RS,NA,NA,53.35,130.017,319.3,1953-12-01,2003-10-18
313250,99999,SEVLI,RS,NA,NA,53.517,132.917,442,1960-08-08,2002-03-03
313289,99999,IGNATYEVO,RS,NA,UHBB,50.425,127.412,194.5,2010-12-03,2018-06-16
313290,99999,EKIMCAN,RS,NA,UHBP,53.067,132.933,543,1947-12-31,2018-06-16
313310,99999,BOLODEK,RS,NA,NA,53.717,133.15,280,1959-01-01,2005-07-24
313380,99999,SELEMDZA,RS,NA,NA,53.133,133.967,682,1948-01-01,1994-09-18
313460,99999,TUGUR,RS,NA,NA,53.85,136.867,52,1959-01-01,1994-03-25
313480,99999,BURUKAN,RS,NA,NA,53.05,136.033,153,1948-01-16,2018-06-16
313610,99999,OSTROV REYNEK SW,RS,NA,NA,54.033,139.217,98,1959-01-01,1963-12-31
313620,99999,ALEKSANDRA,RS,NA,NA,54.283,139.783,9,1959-01-01,2009-06-13
313640,99999,KULCI,RS,NA,NA,53.567,139.65,128,1957-07-01,1993-06-30
313660,99999,PETROVSK NW,RS,NA,NA,53.467,140.883,36,1959-01-02,1962-12-07
313690,99999,NIKOLAEVSK-ON-AMUR,RS,NA,UHNN,53.15,140.7,68,1931-12-31,2018-06-16
313710,99999,CHERNJAEVO,RS,NA,NA,52.783,126,210,1948-01-01,2018-06-16
313720,99999,AYAK (?),RS,NA,NA,52.8,127.783,196,1955-01-07,2001-09-09
313730,99999,OKTJABR'SKIJ PRIISK,RS,NA,NA,53,128.65,332,1953-12-01,2007-02-28
313770,99999,MUHINO,RS,NA,NA,52.267,127.217,326,1959-01-01,2002-04-20
313840,99999,GAR,RS,NA,NA,52.567,129.067,246,1953-12-01,2002-03-11
313880,99999,NORSK,RS,NA,NA,52.35,129.917,208,1947-12-31,2018-06-16
313920,99999,STOJBA,RS,NA,NA,52.8,131.717,359,1947-12-31,2003-10-18
313940,99999,SELEMDZINSKOE,RS,NA,NA,52.583,131.133,300,1953-12-01,1957-12-15
313970,99999,BYSSA,RS,NA,NA,52.45,130.867,267,1954-02-10,2003-10-18
314160,99999,IM POLINY OSIPENKO,RS,NA,NA,52.417,136.5,73,1947-12-31,2018-06-16
314180,99999,VESELAJA GORKA,RS,NA,NA,52.283,135.8,201,1953-02-16,2018-06-16
314190,99999,KAMENKA,RS,NA,NA,47.417,142.817,0,1979-06-01,1983-11-17
314210,99999,GUGA,RS,NA,NA,52.7,137.533,60,1948-01-16,1999-08-03
314230,99999,UDINSKOJE,RS,NA,NA,52.9,138.867,15,1948-01-15,2011-09-07
314320,99999,VOSKRESENSKOJE,RS,NA,NA,52.867,140,25,1959-01-01,2002-11-01
314330,99999,PAD,RS,NA,NA,52.667,140.167,92,1959-01-04,1962-10-13
314360,99999,UARKI,RS,NA,NA,52.517,141.2,14,1959-01-06,2003-10-18
314370,99999,SOMNITELNIJ-PRIISK,RS,NA,NA,52.167,139.067,220,1959-01-04,2005-04-17
314390,99999,BOGORODSKOE,RS,NA,NA,52.383,140.467,35,1947-12-31,2018-06-16
314410,99999,USAKOVO,RS,NA,NA,51.9,126.583,159,1973-03-13,1993-06-30
314420,99999,SIMANOVSK,RS,NA,NA,51.983,127.65,281,1947-12-31,2018-06-16
314430,99999,MAZANOVO,RS,NA,NA,51.633,128.817,161,1953-02-16,2000-02-28
314440,99999,KUMARA,RS,NA,NA,51.583,126.75,173,1946-03-07,1974-04-15
314450,99999,SVOBODNYJ,RS,NA,NA,51.45,128.117,197,1947-12-31,2018-06-16
314590,99999,VERHNJAJA TOM,RS,NA,NA,51.35,130.433,261,1947-12-31,2011-01-16
314690,99999,CEGDOMYN,RS,NA,NA,51.167,132.95,374,1955-01-01,2008-09-16
314740,99999,UST'-UMAL'TA,RS,NA,NA,51.633,133.267,384,1948-01-01,2018-06-16
314750,99999,SREDNYAYA IPPATA,RS,NA,NA,51.417,134.133,930,1959-01-01,2010-03-22
314780,99999,SOFIJSKIJ PRIISK,RS,NA,NA,52.267,133.983,902,1947-12-31,2018-06-16
314820,99999,DUKI,RS,NA,NA,51.717,135.933,132,1947-12-31,2001-12-29
314840,99999,HULARIN,RS,NA,NA,51.417,135.083,269,1948-01-01,2018-06-16
314890,99999,GORIN,RS,NA,NA,51.2,136.8,92,1953-12-01,2018-06-16
314920,99999,BICHI-IN-KHABAROV,RS,NA,NA,51.967,138.183,430,1959-01-05,2003-04-03
314970,99999,BAKTOR,RS,NA,NA,51.133,137.417,35,1959-01-27,2002-12-19
315020,99999,MARIINSKOJE,RS,NA,NA,51.717,140.317,20,1959-01-04,2008-11-17
315040,99999,SUHANOVKA,RS,NA,NA,51.35,139.1,63,1947-12-31,2008-11-17
315090,99999,DE-KASTRI,RS,NA,NA,51.483,140.783,36,1959-01-03,2003-08-05
315100,99999,BLAGOVESCENSK,RS,NA,NA,50.283,127.483,169.2,1931-12-31,2018-06-16
315110,99999,SERGEJEVKA,RS,NA,NA,50.783,127.3,145,1948-01-01,2001-05-23
315120,99999,BLAGOVESCENSK,RS,NA,NA,50.2,127.567,132,2009-08-01,2014-12-24
315130,99999,BELOGORSK,RS,NA,NA,50.917,128.467,178,1953-02-16,2018-06-16
315210,99999,BRATOLJUBOVKA,RS,NA,NA,50.783,129.333,227,1947-12-31,2018-06-16
315270,99999,ZAVITAJA,RS,NA,NA,50.117,129.467,241,1947-12-31,2018-06-16
315280,99999,PAYKAN-IN-AMUR,RS,NA,NA,50.183,130.15,148,1959-01-06,1989-11-06
315320,99999,CEKUNDA,RS,NA,NA,50.867,132.25,272,1945-12-31,2018-06-16
315340,99999,SEKTAGLI,RS,NA,NA,50.433,131.017,230,1947-12-31,2018-06-16
315380,99999,SUTUR,RS,NA,NA,50.067,132.133,347,1953-10-19,2018-06-16
315410,99999,LEVAJA KOSMUN,RS,NA,NA,50.783,133.3,627,1985-02-01,2001-09-24
315450,99999,IRUMKA-IN-KHABAROV,RS,NA,NA,50.683,133.95,567,1959-01-04,2002-07-19
315480,99999,VERHOVJE URMI,RS,NA,NA,50.017,133.583,533,1959-01-30,2009-07-29
315500,99999,AMURSK,RS,NA,NA,50.267,136.917,24,1985-02-01,2005-08-23
315520,99999,VERKHOVYE GORINA,RS,NA,NA,50.867,136.05,314,1959-01-05,1989-08-02
315610,99999,KOMSOMOLSK-NA-AMURE,RS,NA,NA,50.533,137.033,22,1936-12-31,2018-06-16
315620,99999,NIZNETAMBOVSKOE,RS,NA,NA,50.933,138.2,60,1959-01-30,2005-11-14
315660,99999,SEGZEMA,RS,NA,NA,50.333,138.467,193,1959-01-06,2007-12-03
315730,99999,SIZEMAN,RS,NA,NA,50.733,140.433,5,1955-04-23,1994-04-09
315770,99999,SIHOTE,RS,NA,NA,50.183,139.017,697,1959-01-05,1994-03-25
315790,99999,CAPE SYURKUM,RS,NA,NA,50.1,140.683,109,1947-12-31,2001-11-21
315830,99999,MALINOVKA,RS,NA,NA,49.783,129.917,116,1953-12-01,2018-06-16
315860,99999,ASTASIHA,RS,NA,NA,49.483,129.483,126,1946-03-07,2004-11-21
315870,99999,POJARKOVO,RS,NA,NA,49.617,128.65,115,1946-02-04,2018-06-16
315880,99999,ASTASHIKNA,RS,NA,NA,49.483,129.467,125.9,1953-01-01,1958-12-07
315930,99999,KHARA-IN-AMUR,RS,NA,NA,49.783,130.75,230,1959-03-11,2002-05-21
315940,99999,ARHARA,RS,NA,NA,49.417,130.083,135,1946-01-04,2018-06-16
316180,99999,BIRA,RS,NA,NA,49.017,132.467,154,1953-02-16,2001-10-15
316240,99999,URMI,RS,NA,NA,49.4,133.233,198,1948-01-01,2018-06-16
316320,99999,KUR,RS,NA,NA,49.933,134.633,283,1953-12-02,2018-06-16
316360,99999,NERAN,RS,NA,NA,49.55,134.733,222,1947-12-31,2000-02-24
316380,99999,IVANKOVTSI,RS,NA,NA,49.1,134.483,55,1959-01-27,1986-07-23
316470,99999,LITOVKO,RS,NA,NA,49.283,135.183,71,1959-01-06,2001-11-21
316510,99999,BOLON,RS,NA,NA,49.967,136.067,28,1959-01-06,1989-09-04
316530,99999,VERKHNIY NERGEN NW,RS,NA,NA,49.867,136.75,15,1959-01-04,1961-10-31
316550,99999,TROICKOE,RS,NA,UHHO,49.45,136.567,29,1947-12-31,2018-06-16
316610,99999,VERHNI NERGEN,RS,NA,NA,49.867,136.767,64,1959-01-30,2008-04-20
316770,99999,SOLEKUL,RS,NA,NA,49.017,138.75,894,1959-01-04,2009-04-03
316830,99999,TUMNIN,RS,NA,NA,49.65,140.083,58,1959-01-01,2018-06-16
316890,99999,ALEKSEYEVKA WEST,RS,NA,NA,49.183,139.85,536,1959-01-06,1963-12-29
317020,99999,OBLUC'E,RS,NA,NA,49,131.083,257,1953-02-16,2018-06-16
317030,99999,BIRAKAN,RS,NA,NA,49,131.733,267,1953-02-16,2003-10-02
317040,99999,POMPEYEVKA,RS,NA,NA,48.35,130.8,91,1953-02-16,2002-02-13
317050,99999,DICHUN,RS,NA,NA,48.517,130.733,116,1969-01-01,2004-11-30
